year mo dd hr mn sc dsub1_Bx dsub1_By dsub1_Bz dsub2_Bx dsub2_By dsub2_Bz dsub3_Bx dsub3_By dsub3_Bz dsub4_Bx dsub4_By dsub4_Bz dsub5_Bx dsub5_By dsub5_Bz
2014 07 15 15 20 20 -42.845685 -9.224182 -41.756972 -32.909183 27.461078 -16.343006 38.056113 8.494259 -32.612895 19.558557 11.581100 -20.508014 -6.065120 -37.848018 -60.882972
2014 07 15 15 20 20 -42.892177 -9.388690 -41.749820 -32.937793 27.310874 -16.103395 38.226582 8.162857 -32.662962 19.553788 11.351027 -20.355426 -6.228437 -37.925504 -61.103509
2014 07 15 15 20 20 -42.796809 -9.532934 -41.711673 -32.875804 27.444388 -15.808948 38.317181 8.290411 -32.630776 19.665845 11.403479 -20.448409 -6.149759 -37.967227 -60.998605
2014 07 15 15 20 21 -42.709786 -9.317165 -41.717633 -32.915143 27.594592 -15.978226 38.079955 8.620621 -32.583092 19.540675 11.560835 -20.524703 -6.092538 -37.815831 -60.899661
2014 07 15 15 20 21 -42.856414 -9.310012 -41.736707 -32.966403 27.440812 -16.018757 38.087108 8.229614 -32.589053 19.453652 11.528648 -20.435296 -6.322612 -37.863515 -60.985492
2014 07 15 15 20 21 -42.869527 -9.263521 -41.715249 -32.788781 27.406241 -15.903124 38.320758 8.242727 -32.679652 19.582398 11.416592 -20.395957 -6.133070 -38.011334 -60.978339
2014 07 15 15 20 21 -42.759854 -9.395843 -41.833266 -32.973556 27.586247 -15.923389 38.126447 8.539558 -32.565211 19.534715 11.602558 -20.511590 -6.072273 -37.783645 -60.905622
2014 07 15 15 20 22 -42.859990 -9.280210 -41.782006 -32.987861 27.251269 -16.202339 38.122870 8.391739 -32.540177 19.428618 11.526264 -20.451985 -6.268968 -37.862323 -61.004566
2014 07 15 15 20 22 -42.868335 -9.326702 -41.895255 -33.039121 27.489688 -16.224989 38.089492 8.508564 -32.658194 19.415505 11.602558 -20.525895 -6.280889 -37.768147 -60.969995
2014 07 15 15 20 22 -42.883832 -9.268289 -41.841611 -32.886533 27.451541 -15.819677 38.344600 8.319021 -32.604550 19.639619 11.451162 -20.410262 -6.067504 -37.942193 -60.962842
2014 07 15 15 20 22 -42.883832 -9.268289 -41.841611 -32.886533 27.451541 -15.819677 38.344600 8.319021 -32.604550 19.639619 11.451162 -20.410262 -6.067504 -37.942193 -60.962842
2014 07 15 15 20 23 -42.697865 -9.337430 -41.749820 -32.980708 27.338292 -16.050943 38.258769 8.096100 -32.662962 19.549020 11.374868 -20.444833 -6.186714 -37.883780 -61.005758
2014 07 15 15 20 23 -42.774159 -9.213453 -41.783198 -32.887725 27.461078 -15.903124 38.339831 8.298756 -32.587861 19.600280 11.377253 -20.431720 -6.065120 -37.873052 -60.931848
2014 07 15 15 20 23 -42.714555 -9.314781 -41.720017 -32.953290 27.378823 -16.053328 38.284995 8.174778 -32.628392 19.571670 11.421360 -20.428143 -6.168832 -37.921927 -60.954498
2014 07 15 15 20 23 -42.807538 -9.286170 -41.789159 -32.896069 27.526643 -15.988955 38.095452 8.606316 -32.605742 19.463189 11.659779 -20.462714 -6.118764 -37.824176 -60.921119
2014 07 15 15 20 24 -42.907674 -9.178882 -41.752204 -32.922296 27.600552 -15.923389 38.301684 8.372665 -32.680844 19.614585 11.526264 -20.472251 -5.976905 -37.820599 -60.969995
2014 07 15 15 20 24 -42.834956 -9.206300 -41.723594 -32.899646 27.515914 -15.880474 38.264729 8.344055 -32.616471 19.701608 11.488117 -20.425759 -6.104459 -37.855170 -60.981916
2014 07 15 15 20 24 -42.718131 -9.262329 -41.678294 -32.856730 27.378823 -15.965113 38.385131 8.289219 -32.597397 19.649156 11.404671 -20.376883 -6.096115 -37.944577 -60.966419
2014 07 15 15 20 24 -42.700250 -9.413724 -41.745051 -32.898454 27.298953 -16.080746 38.273074 8.192659 -32.595013 19.556172 11.396326 -20.400725 -6.149759 -37.830136 -61.055826
2014 07 15 15 20 25 -42.782504 -9.460216 -41.826114 -32.923488 27.397897 -16.170153 38.181283 8.394123 -32.603358 19.466765 11.548914 -20.454370 -6.214132 -37.813447 -60.952113
2014 07 15 15 20 25 -42.830188 -9.331470 -41.884526 -32.927064 27.512338 -16.121277 38.113334 8.516909 -32.611702 19.451268 11.638321 -20.479403 -6.235589 -37.677548 -60.937808
2014 07 15 15 20 25 -42.918403 -9.259944 -41.842803 -32.900838 27.632739 -15.947231 38.138368 8.620621 -32.574748 19.559749 11.689581 -20.503245 -6.117572 -37.828944 -60.891317
2014 07 15 15 20 25 -42.862374 -9.207492 -41.735515 -32.899646 27.526643 -15.873322 38.287379 8.366705 -32.583092 19.686110 11.478580 -20.432912 -6.063928 -37.828944 -60.942577
2014 07 15 15 20 26 -42.749125 -9.346967 -41.759356 -32.907990 27.321603 -16.137966 38.275458 8.141399 -32.614087 19.544251 11.405863 -20.355426 -6.100883 -37.889741 -61.028407
2014 07 15 15 20 26 -42.831380 -9.348159 -41.896447 -32.971171 27.476575 -16.151079 38.150288 8.566977 -32.564019 19.497760 11.634745 -20.465098 -6.279697 -37.744306 -60.952113
