year mo dd hr mn sc dsub1_Bx dsub1_By dsub1_Bz dsub2_Bx dsub2_By dsub2_Bz dsub3_Bx dsub3_By dsub3_Bz dsub4_Bx dsub4_By dsub4_Bz dsub5_Bx dsub5_By dsub5_Bz
2014 07 15 15 39 30 -42.581040 -9.212261 -41.641339 -32.545594 27.582671 -15.761265 38.686730 8.302332 -32.581900 19.904263 11.496462 -20.322047 -5.839815 -37.861131 -60.906814
2014 07 15 15 39 30 -42.558391 -9.332662 -41.749820 -32.595662 27.619626 -16.313204 38.416125 8.557440 -32.591437 19.724257 11.482157 -20.351850 -5.860080 -37.869475 -60.909198
2014 07 15 15 39 30 -42.552430 -9.327894 -41.780814 -32.618312 27.771022 -15.888819 38.530566 8.721949 -32.506798 19.793399 11.763491 -20.432912 -5.833854 -37.701390 -60.822175
2014 07 15 15 39 31 -42.526204 -9.329086 -41.905984 -32.633809 27.731683 -16.029486 38.441159 8.738638 -32.482956 19.756444 11.814751 -20.372115 -5.899419 -37.714503 -60.935424
2014 07 15 15 39 31 -42.446334 -9.264713 -41.761741 -32.604007 27.631547 -16.300091 38.432815 8.577705 -32.581900 19.677766 11.771835 -20.462714 -5.990018 -37.602446 -60.925887
2014 07 15 15 39 31 -42.507131 -9.438758 -41.737899 -32.562283 27.786519 -15.974649 38.449504 8.762480 -32.546137 19.740947 11.823095 -20.386420 -5.935182 -37.671588 -60.846017
2014 07 15 15 39 31 -42.471368 -9.252792 -41.730746 -32.575396 27.755525 -15.940079 38.429238 8.758903 -32.535409 19.767173 11.854090 -20.399533 -5.866041 -37.663243 -60.877012
2014 07 15 15 39 32 -42.479712 -9.262329 -41.859492 -32.582549 27.697112 -15.999683 38.414933 8.736254 -32.436465 19.824393 11.610903 -20.411454 -5.973329 -37.714503 -60.985492
2014 07 15 15 39 32 -42.526204 -9.414917 -41.689023 -32.539634 27.691152 -16.102203 38.473346 8.738638 -32.523488 19.760020 11.843361 -20.379268 -5.925645 -37.623904 -60.848401
2014 07 15 15 39 32 -42.470176 -9.250408 -41.617497 -32.550363 27.562405 -15.954384 38.715341 8.187891 -32.609318 19.851811 11.494078 -20.313703 -5.833854 -37.681125 -60.832904
2014 07 15 15 39 32 -42.404611 -9.300476 -41.616305 -32.583741 27.475383 -16.080746 38.540103 8.313061 -32.503222 19.776710 11.852898 -20.399533 -5.886306 -37.684701 -60.836480
2014 07 15 15 39 33 -42.478520 -9.363657 -41.661605 -32.539634 27.458693 -16.008028 38.600900 8.197428 -32.531832 19.796975 11.774219 -20.399533 -5.819549 -37.683509 -60.843633
2014 07 15 15 39 33 -42.491633 -9.369617 -41.586503 -32.531289 27.822282 -15.888819 38.506724 8.715988 -32.484149 19.861348 11.825479 -20.280324 -5.925645 -37.800334 -60.918735
2014 07 15 15 39 33 -42.591769 -9.239679 -41.798696 -32.500295 27.525451 -15.968689 38.705804 8.187891 -32.573556 19.897111 11.504806 -20.332776 -5.830278 -37.586949 -60.892509
2014 07 15 15 39 33 -42.644221 -9.032255 -41.532859 -32.496718 27.550485 -15.932926 38.679578 8.199812 -32.578324 19.864924 11.832632 -20.356618 -5.851736 -37.725232 -60.853170
2014 07 15 15 39 34 -42.480905 -9.337430 -41.622266 -32.568244 27.639892 -16.251215 38.455464 8.754135 -32.446002 19.773133 11.839785 -20.339929 -5.887498 -37.707351 -60.835288
2014 07 15 15 39 34 -42.416532 -9.242063 -41.637763 -32.589702 27.774598 -15.900740 38.646199 8.476377 -32.577132 19.936450 11.621632 -20.367347 -5.818357 -37.855170 -60.884164
2014 07 15 15 39 34 -42.604882 -9.273057 -41.789159 -32.453803 27.573134 -15.874514 38.740374 8.251072 -32.531832 19.899495 11.780180 -20.378076 -6.006708 -37.619136 -60.868667
2014 07 15 15 39 34 -42.514283 -9.170537 -41.580543 -32.575396 27.630355 -16.099819 38.442351 8.799435 -32.468651 19.788630 11.812366 -20.360194 -5.863657 -37.790797 -60.937808
2014 07 15 15 39 35 -42.603690 -9.233718 -41.791543 -32.464532 27.602937 -15.767225 38.778521 8.310677 -32.575940 19.924529 11.475004 -20.323239 -5.842199 -37.842057 -60.854362
2014 07 15 15 39 35 -42.538125 -9.329086 -41.771277 -32.582549 27.824666 -15.817293 38.611628 8.515717 -32.602166 19.878037 11.573948 -20.355426 -5.978097 -37.691853 -60.965226
2014 07 15 15 39 35 -42.592961 -9.070402 -41.690215 -32.544402 27.813937 -15.770802 38.746335 8.382202 -32.499646 19.934066 11.516727 -20.275556 -5.812397 -37.870667 -60.905622
2014 07 15 15 39 35 -42.514283 -9.288555 -41.805848 -32.511023 27.666118 -15.738615 38.737990 8.377434 -32.505606 19.931682 11.567987 -20.314895 -5.833854 -37.802718 -60.903238
2014 07 15 15 39 36 -42.560775 -9.373193 -41.703328 -32.551555 27.747180 -15.839943 38.560368 8.636118 -32.578324 19.831546 11.436857 -20.356618 -5.830278 -37.845633 -60.906814
2014 07 15 15 39 36 -42.576272 -9.261137 -41.735515 -32.568244 27.815129 -15.833982 38.641431 8.452536 -32.518719 19.917376 11.550106 -20.367347 -5.806436 -37.843249 -60.855554
2014 07 15 15 39 36 -42.528588 -9.366041 -41.590079 -32.496718 27.680423 -15.837559 38.654544 8.371473 -32.512759 19.978173 11.587061 -20.359002 -5.787363 -37.784837 -60.843633
2014 07 15 15 39 36 -42.520244 -9.358888 -41.641339 -32.538442 27.592208 -15.677818 38.747527 8.305908 -32.536601 19.909032 11.479773 -20.324431 -5.814781 -37.892125 -60.900853
2014 07 15 15 39 37 -42.567927 -9.243255 -41.711673 -32.514600 27.753140 -15.862593 38.493611 8.710028 -32.471036 19.767173 11.591829 -20.319663 -5.966176 -37.697814 -60.980724
2014 07 15 15 39 37 -42.648990 -9.069210 -41.700944 -32.607583 27.543332 -15.878090 38.739182 8.286835 -32.547329 19.757636 11.665739 -20.364963 -6.003131 -37.715695 -60.955690
2014 07 15 15 39 37 -42.620379 -9.114509 -41.655644 -32.555131 27.500417 -16.086706 38.579442 8.265377 -32.581900 19.788630 11.542953 -20.395957 -5.733718 -37.741921 -60.888933
2014 07 15 15 39 37 -42.601306 -9.261137 -41.851148 -32.525329 27.602937 -15.781530 38.730838 8.274914 -32.603358 19.720681 11.776604 -20.412646 -5.925645 -37.752650 -60.805486
2014 07 15 15 39 38 -42.570312 -9.333854 -41.737899 -32.611159 27.606513 -15.932926 38.457848 8.774401 -32.513951 19.726642 11.799253 -20.386420 -5.881538 -37.700198 -60.812639
