Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
07 31 2014 14 58 43 11 1.00000000E+2 0.00000000E+0 0.00000000E+0 5.17612300E+5 0.00000000E+0 3.03614140E+0 3.22222743E-2 -2.24924088E+0 2.20660091E-3 -3.71813774E-2 2.15893741E-3 1.96827650E+0 3.95654253E-3
07 31 2014 14 58 47 15 1.00000000E+2 0.00000000E+0 5.00000000E+1 5.17616800E+5 0.00000000E+0 3.07440758E+0 3.20059095E-2 -2.30523944E+0 2.88494129E-3 -8.78393650E-2 3.27160951E-3 1.91679597E+0 4.07297386E-3
07 31 2014 14 58 52 20 1.00000000E+2 0.00000000E+0 1.00000000E+2 5.17621300E+5 0.00000000E+0 3.10242176E+0 2.68614491E-2 -2.36402154E+0 3.42069881E-3 -1.27840042E-1 1.81590656E-3 1.96461678E+0 3.00818435E-3
07 31 2014 14 58 56 24 1.00000000E+2 0.00000000E+0 1.50000000E+2 5.17625900E+5 0.00000000E+0 3.16888094E+0 3.16200430E-2 -2.29610205E+0 2.26576889E-3 -9.68873501E-2 1.98869763E-3 2.08023787E+0 3.02076384E-3
07 31 2014 14 59 01 29 1.00000000E+2 0.00000000E+0 2.00000000E+2 5.17630400E+5 0.00000000E+0 3.15450132E+0 2.20035883E-2 -2.25206465E+0 2.95123256E-3 -7.10412860E-2 2.04515746E-3 2.06436962E+0 3.68206055E-3
07 31 2014 14 59 05 33 1.00000000E+2 0.00000000E+0 2.50000000E+2 5.17634900E+5 0.00000000E+0 3.11309099E+0 2.61359830E-2 -2.30458379E+0 2.31280736E-3 -1.06728077E-1 2.53887655E-3 2.03362107E+0 3.37216378E-3
07 31 2014 14 59 10 38 1.00000000E+2 0.00000000E+0 3.00000000E+2 5.17639400E+5 0.00000000E+0 3.11061740E+0 3.05878896E-2 -2.33842432E+0 2.85003293E-3 -9.37581062E-2 1.73953001E-3 2.15462595E+0 3.02008957E-3
07 31 2014 14 59 14 42 1.00000000E+2 0.00000000E+0 3.50000000E+2 5.17643900E+5 0.00000000E+0 3.09956074E+0 2.90303896E-2 -2.23247409E+0 2.27807312E-3 -4.82499599E-2 2.91485990E-3 2.30158567E+0 3.20710422E-3
07 31 2014 14 59 19 47 1.00000000E+2 0.00000000E+0 4.00000000E+2 5.17648400E+5 0.00000000E+0 3.11148167E+0 2.88961061E-2 -2.15830207E+0 2.83957771E-3 -2.26855278E-2 2.47684299E-3 2.33806372E+0 2.83262206E-3
07 31 2014 14 59 23 51 1.00000000E+2 0.00000000E+0 4.50000000E+2 5.17653000E+5 0.00000000E+0 3.12757492E+0 3.56190285E-2 -2.18159556E+0 2.87834864E-3 -6.43908978E-2 2.09828134E-3 2.36284733E+0 4.09077051E-3
