Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
07 31 2014 15 27 37 11 1.00000000E+2 0.00000000E+0 0.00000000E+0 5.19346400E+5 0.00000000E+0 6.03634357E+2 4.06869751E-2 -6.21135685E+2 3.84502138E-3 2.20998526E+0 4.72711294E-3 4.93836999E+0 9.58223962E-2
07 31 2014 15 27 41 16 1.00000000E+2 0.00000000E+0 5.00000000E+1 5.19350900E+5 0.00000000E+0 6.03707731E+2 3.40592984E-2 -6.21211212E+2 3.59762331E-3 2.15030909E+0 4.95058978E-3 5.09920716E+0 4.31946274E-2
07 31 2014 15 27 46 20 1.00000000E+2 0.00000000E+0 1.00000000E+2 5.19355400E+5 0.00000000E+0 6.03758454E+2 3.22297013E-2 -6.21213005E+2 4.89404298E-3 2.20378637E+0 4.94321154E-3 5.27641773E+0 4.78145035E-2
07 31 2014 15 27 50 25 1.00000000E+2 0.00000000E+0 1.50000000E+2 5.19360000E+5 0.00000000E+0 6.03764430E+2 3.85833623E-2 -6.21087164E+2 3.10688470E-3 2.36272067E+0 5.19666255E-3 5.66704571E+0 4.09669651E-2
07 31 2014 15 27 55 29 1.00000000E+2 0.00000000E+0 2.00000000E+2 5.19364500E+5 0.00000000E+0 6.03748202E+2 3.35353116E-2 -6.21054151E+2 4.10609199E-3 2.40088701E+0 5.21143335E-3 5.89005351E+0 1.32933494E-2
07 31 2014 15 27 59 34 1.00000000E+2 0.00000000E+0 2.50000000E+2 5.19369000E+5 0.00000000E+0 6.03764653E+2 3.59714566E-2 -6.21234205E+2 4.63224557E-3 2.36451626E+0 3.18328239E-3 5.71890920E+0 1.25458716E-2
07 31 2014 15 28 04 38 1.00000000E+2 0.00000000E+0 3.00000000E+2 5.19373500E+5 0.00000000E+0 6.03746235E+2 5.22284139E-2 -6.21468158E+2 4.66567170E-3 2.42808461E+0 3.16885653E-3 5.55115938E+0 4.94690204E-3
07 31 2014 15 28 08 43 1.00000000E+2 0.00000000E+0 3.50000000E+2 5.19378000E+5 0.00000000E+0 6.03730857E+2 4.70064321E-2 -6.21566556E+2 6.47672171E-3 2.66154408E+0 5.43640520E-3 5.66131473E+0 8.75710970E-3
07 31 2014 15 28 13 47 1.00000000E+2 0.00000000E+0 4.00000000E+2 5.19382600E+5 0.00000000E+0 6.03736579E+2 3.77676065E-2 -6.21616709E+2 5.24230756E-3 2.86843181E+0 4.51412020E-3 5.87079525E+0 9.26250891E-3
07 31 2014 15 28 17 52 1.00000000E+2 0.00000000E+0 4.50000000E+2 5.19387100E+5 0.00000000E+0 6.03731811E+2 3.51329074E-2 -6.21569412E+2 4.17759641E-3 3.10460925E+0 5.72900534E-3 6.02271557E+0 1.10350788E-2
07 31 2014 15 28 22 56 1.00000000E+2 0.00000000E+0 5.00000000E+2 5.19391600E+5 0.00000000E+0 6.03718638E+2 3.06934833E-2 -6.21186118E+2 6.39712192E-3 3.26053500E+0 5.27468228E-3 6.84791207E+0 7.20594739E-3
07 31 2014 15 28 26 61 1.00000000E+2 0.00000000E+0 5.50000000E+2 5.19396100E+5 0.00000000E+0 6.03721023E+2 3.45650684E-2 -6.20220547E+2 4.66912023E-3 3.55045795E+0 4.62446655E-3 8.02435875E+0 1.66963172E-2
07 31 2014 15 28 31 65 1.00000000E+2 0.00000000E+0 6.00000000E+2 5.19400600E+5 0.00000000E+0 6.03709280E+2 2.92423622E-2 -6.18627315E+2 5.18769348E-3 3.63567472E+0 3.79422677E-3 9.63574052E+0 1.17050548E-2
07 31 2014 15 28 36 70 1.00000000E+2 0.00000000E+0 6.50000000E+2 5.19405100E+5 0.00000000E+0 6.03733182E+2 3.74302782E-2 -6.16143255E+2 5.50890363E-3 3.51247191E+0 4.76348699E-3 1.21658266E+1 8.32214718E-3
07 31 2014 15 28 40 74 1.00000000E+2 0.00000000E+0 7.00000000E+2 5.19409700E+5 0.00000000E+0 6.03734851E+2 3.41280186E-2 -6.12010056E+2 3.79760709E-3 3.24261934E+0 4.04034940E-3 1.63682029E+1 1.25535151E-2
07 31 2014 15 28 45 79 1.00000000E+2 0.00000000E+0 7.50000000E+2 5.19414200E+5 0.00000000E+0 6.03727281E+2 3.97133080E-2 -6.04979653E+2 4.95618327E-3 2.99384594E+0 3.06781276E-3 2.31706202E+1 1.53574294E-2
07 31 2014 15 28 49 83 1.00000000E+2 0.00000000E+0 8.00000000E+2 5.19418700E+5 0.00000000E+0 6.03733882E+2 3.94622213E-2 -5.93243536E+2 4.81376401E-3 2.79350579E+0 2.80378458E-3 3.38174626E+1 1.35411097E-2
07 31 2014 15 28 54 88 1.00000000E+2 0.00000000E+0 8.50000000E+2 5.19423200E+5 0.00000000E+0 6.03727758E+2 2.56477922E-2 -5.73888350E+2 5.61852677E-3 2.77935266E+0 3.07835129E-3 4.98870373E+1 1.77064756E-2
07 31 2014 15 28 58 92 1.00000000E+2 0.00000000E+0 9.00000000E+2 5.19427700E+5 0.00000000E+0 6.03736758E+2 3.70102938E-2 -5.42379282E+2 6.86705589E-3 3.05920839E+0 3.01565898E-3 7.25169122E+1 1.77614251E-2
07 31 2014 15 29 03 97 1.00000000E+2 0.00000000E+0 9.50000000E+2 5.19432200E+5 0.00000000E+0 6.03734195E+2 4.09104018E-2 -4.93520257E+2 9.56739313E-3 3.59290242E+0 2.07901569E-3 1.00982821E+2 3.43703807E-2
07 31 2014 15 29 07 101 1.00000000E+2 0.00000000E+0 1.00000000E+3 5.19436800E+5 0.00000000E+0 6.03758752E+2 4.02059496E-2 -4.24532237E+2 5.92038786E-3 4.04298306E+0 5.76787299E-3 1.30288333E+2 5.48263001E-2
