Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
07 25 2014 15 47 10 133 1.00000000E+2 0.00000000E+0 1.25000000E+3 2.11960000E+3 0.00000000E+0 5.79539686E+1 2.84826134E-1 -4.18171361E+1 5.98298725E-3 7.68194348E+0 3.29421055E-3 1.24688014E+2 9.49461643E-3
07 25 2014 15 47 15 137 1.00000000E+2 0.00000000E+0 1.20000000E+3 2.12410000E+3 0.00000000E+0 5.79901934E+1 3.07362705E-1 -9.16612864E+1 1.06412958E-2 7.45633841E+0 5.05778449E-3 1.49803132E+2 1.96813313E-2
07 25 2014 15 47 19 142 1.00000000E+2 0.00000000E+0 1.15000000E+3 2.12860000E+3 0.00000000E+0 5.79643995E+1 2.87612423E-1 -1.59297049E+2 6.62257406E-3 7.26669282E+0 3.09024840E-3 1.73561223E+2 1.81554075E-2
07 25 2014 15 47 24 146 1.00000000E+2 0.00000000E+0 1.10000000E+3 2.13310000E+3 0.00000000E+0 5.80032468E+1 2.86759876E-1 -2.45069259E+2 6.90834628E-3 6.73371553E+0 3.73053809E-3 1.85187954E+2 2.27122974E-2
07 25 2014 15 47 28 151 1.00000000E+2 0.00000000E+0 1.05000000E+3 2.13770000E+3 0.00000000E+0 5.80646843E+1 2.87654500E-1 -3.40130128E+2 4.50493756E-3 5.94820827E+0 2.80356283E-3 1.76055290E+2 2.19857707E-2
07 25 2014 15 47 33 155 1.00000000E+2 0.00000000E+0 1.00000000E+3 2.14220000E+3 0.00000000E+0 5.79838753E+1 2.76097134E-1 -4.28438315E+2 8.82557792E-3 5.47614098E+0 2.24310947E-3 1.48067230E+2 3.70349703E-2
07 25 2014 15 47 37 160 1.00000000E+2 0.00000000E+0 9.50000000E+2 2.14670000E+3 0.00000000E+0 5.79771399E+1 3.16508108E-1 -4.97399118E+2 1.61912537E-2 5.27169108E+0 5.92083999E-3 1.11758351E+2 4.25524348E-2
07 25 2014 15 47 42 164 1.00000000E+2 0.00000000E+0 9.00000000E+2 2.15120000E+3 0.00000000E+0 5.80234528E+1 2.56843615E-1 -5.44510167E+2 3.97235111E-2 5.18519282E+0 8.51196989E-3 7.76205063E+1 1.08608874E-1
07 25 2014 15 47 46 169 1.00000000E+2 0.00000000E+0 8.50000000E+2 2.15570000E+3 0.00000000E+0 5.79984188E+1 2.94852810E-1 -5.73810966E+2 6.24597463E-2 5.21972775E+0 9.45521274E-3 5.08754432E+1 1.76018014E-1
07 25 2014 15 47 51 173 1.00000000E+2 0.00000000E+0 8.00000000E+2 2.16030000E+3 0.00000000E+0 5.79813123E+1 2.85588626E-1 -5.90985827E+2 1.99565137E-2 5.21007180E+0 9.40166631E-3 3.20293963E+1 5.44902036E-2
07 25 2014 15 47 55 178 1.00000000E+2 0.00000000E+0 7.50000000E+2 2.16480000E+3 0.00000000E+0 5.79634905E+1 3.30170907E-1 -6.01333971E+2 5.23741942E-2 5.79020381E+0 2.71663925E-2 1.95635617E+1 2.04817863E-1
07 25 2014 15 48 00 182 1.00000000E+2 0.00000000E+0 7.00000000E+2 2.16930000E+3 0.00000000E+0 5.79901040E+1 2.63946659E-1 -6.07144502E+2 2.74249357E-2 6.09503686E+0 1.33515025E-2 1.16370171E+1 1.43876969E-1
07 25 2014 15 48 04 187 1.00000000E+2 0.00000000E+0 6.50000000E+2 2.17380000E+3 0.00000000E+0 5.80312014E+1 3.07549729E-1 -6.10420601E+2 1.61604614E-2 6.39447570E+0 9.40937988E-3 6.77133203E+0 1.44409376E-1
07 25 2014 15 48 09 191 1.00000000E+2 0.00000000E+0 6.00000000E+2 2.17830000E+3 0.00000000E+0 5.79942018E+1 2.98897880E-1 -6.12328920E+2 6.38587374E-3 6.52253628E+0 5.23490327E-3 3.95826995E+0 3.85701253E-2
07 25 2014 15 48 13 196 1.00000000E+2 0.00000000E+0 5.50000000E+2 2.18280000E+3 0.00000000E+0 5.79953790E+1 3.05339815E-1 -6.13433228E+2 1.16483504E-2 6.55567646E+0 2.75012117E-3 2.24875212E+0 2.79812283E-2
07 25 2014 15 48 18 200 1.00000000E+2 0.00000000E+0 5.00000000E+2 2.18740000E+3 0.00000000E+0 5.79420477E+1 2.72205294E-1 -6.14076301E+2 6.98562300E-3 6.47171587E+0 3.25180531E-3 1.02990121E+0 1.30740199E-2
07 25 2014 15 48 22 205 1.00000000E+2 0.00000000E+0 4.50000000E+2 2.19190000E+3 0.00000000E+0 5.79640865E+1 2.80589769E-1 -6.14382358E+2 1.78260777E-2 6.35981560E+0 3.32731179E-3 1.71113014E-1 1.50018552E-2
07 25 2014 15 48 27 209 1.00000000E+2 0.00000000E+0 4.00000000E+2 2.19640000E+3 0.00000000E+0 5.79968095E+1 3.03361878E-1 -6.14469354E+2 6.87198240E-3 6.33278489E+0 3.49073731E-3 -3.41677666E-1 1.76555865E-2
07 25 2014 15 48 31 214 1.00000000E+2 0.00000000E+0 3.50000000E+2 2.20090000E+3 0.00000000E+0 5.80345392E+1 2.99960141E-1 -6.14451470E+2 7.40357185E-3 6.33394718E+0 3.43786903E-3 -4.25279140E-1 1.54408064E-2
07 25 2014 15 48 36 218 1.00000000E+2 0.00000000E+0 3.00000000E+2 2.20540000E+3 0.00000000E+0 5.79632521E+1 2.76319045E-1 -6.14397912E+2 4.07841114E-3 6.04879856E+0 4.41218484E-3 -1.08451247E+0 3.68360151E-2
07 25 2014 15 48 40 223 1.00000000E+2 0.00000000E+0 2.50000000E+2 2.20990000E+3 0.00000000E+0 5.79547286E+1 3.10954452E-1 -6.14333854E+2 4.99119637E-3 5.90403080E+0 3.98113565E-3 -1.19587183E+0 2.49664603E-2
07 25 2014 15 48 45 228 1.00000000E+2 0.00000000E+0 2.00000000E+2 2.21450000E+3 0.00000000E+0 5.79908490E+1 3.00600521E-1 -6.14285026E+2 4.92290019E-3 5.94283938E+0 4.75349033E-3 -1.10255480E+0 1.89889073E-2
07 25 2014 15 48 49 232 1.00000000E+2 0.00000000E+0 1.50000000E+2 2.21900000E+3 0.00000000E+0 5.82688302E+1 2.89996444E-1 -6.14340767E+2 7.29000106E-3 6.06810302E+0 3.79838754E-3 -1.08683854E+0 2.67306631E-2
07 25 2014 15 48 54 237 1.00000000E+2 0.00000000E+0 1.00000000E+2 2.22350000E+3 0.00000000E+0 5.81243038E+1 2.80099670E-1 -6.14484560E+2 7.77286715E-3 5.94099164E+0 7.43569845E-3 -1.00495815E+0 6.02600877E-2
07 25 2014 15 48 58 241 1.00000000E+2 0.00000000E+0 5.00000000E+1 2.22800000E+3 0.00000000E+0 5.81177324E+1 2.87591752E-1 -6.14550129E+2 1.36329817E-2 5.78144193E+0 3.40849636E-3 -1.15998834E+0 5.78424261E-2
07 25 2014 15 49 03 246 1.00000000E+2 0.00000000E+0 0.00000000E+0 2.23250000E+3 0.00000000E+0 5.81337810E+1 2.59129263E-1 -6.14577627E+2 5.56854947E-3 5.68480492E+0 2.53306638E-3 -1.20326281E+0 4.21758728E-2
