Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
07 25 2014 16 00 21 11 1.00000000E+2 0.00000000E+0 0.00000000E+0 2.91060000E+3 0.00000000E+0 5.79622388E+1 2.96869019E-1 7.46762753E-1 2.75014837E-3 1.33424997E-1 2.30113586E-3 -2.04735994E-1 3.47346776E-3
07 25 2014 16 00 26 16 1.00000000E+2 0.00000000E+0 5.00000000E+1 2.91510000E+3 0.00000000E+0 5.79677820E+1 2.84120873E-1 7.18414783E-1 3.68799184E-3 1.30158663E-1 2.01277244E-3 -2.34305859E-1 5.04333086E-3
07 25 2014 16 00 30 21 1.00000000E+2 0.00000000E+0 1.00000000E+2 2.91960000E+3 0.00000000E+0 5.79705238E+1 2.88191444E-1 7.09313154E-1 2.64568163E-3 1.32590532E-1 3.02268832E-3 -2.27683783E-1 2.46606174E-3
07 25 2014 16 00 35 25 1.00000000E+2 0.00000000E+0 1.50000000E+2 2.92410000E+3 0.00000000E+0 5.79601526E+1 2.80349735E-1 7.22181797E-1 3.47764801E-3 1.43963099E-1 2.55273622E-3 -1.96468830E-1 3.39449698E-3
07 25 2014 16 00 39 30 1.00000000E+2 0.00000000E+0 2.00000000E+2 2.92870000E+3 0.00000000E+0 5.79366684E+1 3.01222345E-1 7.26914406E-1 2.23408848E-3 1.45804882E-1 3.83267355E-3 -2.07459927E-1 3.47532448E-3
07 25 2014 16 00 44 34 1.00000000E+2 0.00000000E+0 2.50000000E+2 2.93320000E+3 0.00000000E+0 5.79498410E+1 2.74643159E-1 6.73884153E-1 3.18430234E-3 1.26326084E-1 2.48708888E-3 -2.03162432E-1 3.61411570E-3
07 25 2014 16 00 48 39 1.00000000E+2 0.00000000E+0 3.00000000E+2 2.93770000E+3 0.00000000E+0 5.79664707E+1 3.18517388E-1 6.63429499E-1 2.27531355E-3 1.13880634E-1 2.91773877E-3 -1.40655041E-1 3.68096814E-3
07 25 2014 16 00 53 43 1.00000000E+2 0.00000000E+0 3.50000000E+2 2.94220000E+3 0.00000000E+0 5.80109656E+1 2.68856417E-1 6.54958189E-1 2.81872838E-3 1.34013593E-1 2.15819028E-3 -5.48288226E-2 3.17388437E-3
07 25 2014 16 00 57 48 1.00000000E+2 0.00000000E+0 4.00000000E+2 2.94670000E+3 0.00000000E+0 5.79791665E+1 2.67656741E-1 6.37322664E-1 3.22175736E-3 1.43283606E-1 2.34096496E-3 2.63035297E-2 3.52260292E-3
07 25 2014 16 01 02 52 1.00000000E+2 0.00000000E+0 4.50000000E+2 2.95120000E+3 0.00000000E+0 5.79459965E+1 2.83939036E-1 5.77844679E-1 3.68630354E-3 1.44846737E-1 2.99765540E-3 1.51447952E-1 2.77938148E-3
07 25 2014 16 01 06 57 1.00000000E+2 0.00000000E+0 5.00000000E+2 2.95580000E+3 0.00000000E+0 5.79357147E+1 2.80281563E-1 5.14829159E-1 2.82924027E-3 1.51407719E-1 2.31733848E-3 3.59266996E-1 2.81938227E-3
07 25 2014 16 01 11 61 1.00000000E+2 0.00000000E+0 5.50000000E+2 2.96030000E+3 0.00000000E+0 5.79624772E+1 2.83679479E-1 4.56178188E-1 5.82902696E-3 1.63674355E-1 2.05423366E-3 6.57123327E-1 3.19831753E-3
07 25 2014 16 01 15 66 1.00000000E+2 0.00000000E+0 6.00000000E+2 2.96480000E+3 0.00000000E+0 5.79663515E+1 2.71591568E-1 3.81445885E-1 3.40257381E-3 1.69587135E-1 2.09118482E-3 1.07109547E+0 3.35462383E-3
07 25 2014 16 01 20 70 1.00000000E+2 0.00000000E+0 6.50000000E+2 2.96930000E+3 0.00000000E+0 5.79928756E+1 2.88402072E-1 2.59429216E-1 2.85889809E-3 1.75148249E-1 2.21028398E-3 1.67326927E+0 3.49384811E-3
07 25 2014 16 01 24 75 1.00000000E+2 0.00000000E+0 7.00000000E+2 2.97380000E+3 0.00000000E+0 5.79670072E+1 2.82610288E-1 1.33675337E-1 2.82319979E-3 2.15929747E-1 2.07750417E-3 2.58228183E+0 3.05786779E-3
07 25 2014 16 01 29 79 1.00000000E+2 0.00000000E+0 7.50000000E+2 2.97840000E+3 0.00000000E+0 5.79549670E+1 2.53647232E-1 8.99791718E-2 3.80814297E-3 2.80779600E-1 2.03347539E-3 3.88824344E+0 2.54898312E-3
07 25 2014 16 01 33 84 1.00000000E+2 0.00000000E+0 8.00000000E+2 2.98290000E+3 0.00000000E+0 5.79534173E+1 2.96424108E-1 1.59996748E-1 2.87022986E-3 3.65650654E-1 1.87575533E-3 5.69869280E+0 3.69981664E-3
07 25 2014 16 01 38 88 1.00000000E+2 0.00000000E+0 8.50000000E+2 2.98740000E+3 0.00000000E+0 5.79756498E+1 2.79172060E-1 4.60910797E-1 4.83092264E-3 5.05101681E-1 2.22075774E-3 8.24394226E+0 3.13891057E-3
07 25 2014 16 01 42 93 1.00000000E+2 0.00000000E+0 9.00000000E+2 2.99190000E+3 0.00000000E+0 5.80281764E+1 2.46853999E-1 1.27923489E+0 4.61387693E-3 7.26714730E-1 2.35253424E-3 1.17520988E+1 4.01966937E-3
07 25 2014 16 01 47 97 1.00000000E+2 0.00000000E+0 9.50000000E+2 2.99640000E+3 0.00000000E+0 5.79573512E+1 2.66000912E-1 3.04931998E+0 4.42225536E-3 1.06898546E+0 2.67710814E-3 1.63948774E+1 5.31357941E-3
07 25 2014 16 01 51 102 1.00000000E+2 0.00000000E+0 1.00000000E+3 3.00090000E+3 0.00000000E+0 5.79282641E+1 2.93992602E-1 6.19436800E+0 4.38842950E-3 1.55476481E+0 3.81015436E-3 2.20467895E+1 3.97472566E-3
07 25 2014 16 01 56 106 1.00000000E+2 0.00000000E+0 1.05000000E+3 3.00550000E+3 0.00000000E+0 5.79833388E+1 3.05120013E-1 1.11321032E+1 3.93747456E-3 2.20255256E+0 2.48864466E-3 2.84148633E+1 7.36576289E-3
07 25 2014 16 02 00 111 1.00000000E+2 0.00000000E+0 1.10000000E+3 3.01000000E+3 0.00000000E+0 5.79922199E+1 2.78941533E-1 1.80548429E+1 3.72019846E-3 2.99275517E+0 3.04428706E-3 3.48212004E+1 3.83199047E-3
07 25 2014 16 02 05 115 1.00000000E+2 0.00000000E+0 1.15000000E+3 3.01450000E+3 0.00000000E+0 5.79776764E+1 2.77550789E-1 2.65901625E+1 3.20443865E-3 3.85329723E+0 2.64916364E-3 4.04406428E+1 8.80919335E-3
07 25 2014 16 02 09 120 1.00000000E+2 0.00000000E+0 1.20000000E+3 3.01900000E+3 0.00000000E+0 5.79965115E+1 3.24987948E-1 3.59634995E+1 4.74558896E-3 4.72521186E+0 2.58944824E-3 4.47602689E+1 7.78479128E-3
07 25 2014 16 02 14 124 1.00000000E+2 0.00000000E+0 1.25000000E+3 3.02350000E+3 0.00000000E+0 5.79653978E+1 3.22675266E-1 4.55206633E+1 5.54385597E-3 5.61856031E+0 2.54205618E-3 4.78192568E+1 6.59830063E-3
