Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
07 25 2014 15 45 15 18 1.00000000E+2 0.00000000E+0 0.00000000E+0 2.00440000E+3 0.00000000E+0 5.79549670E+1 2.88063124E-1 -6.14578826E+2 7.29593288E-3 5.23662567E-1 3.75234791E-3 -9.81444120E-1 8.67549733E-2
07 25 2014 15 45 19 22 1.00000000E+2 0.00000000E+0 5.00000000E+1 2.00900000E+3 0.00000000E+0 5.79578876E+1 2.94126687E-1 -6.14571812E+2 5.51674172E-3 5.95057011E-1 3.48821344E-3 -8.10700655E-1 6.05499728E-2
07 25 2014 15 45 24 27 1.00000000E+2 0.00000000E+0 1.00000000E+2 2.01350000E+3 0.00000000E+0 5.79979420E+1 2.95339497E-1 -6.14517798E+2 5.48311663E-3 7.64280558E-1 4.46507494E-3 -3.59737873E-1 3.17061351E-2
07 25 2014 15 45 28 31 1.00000000E+2 0.00000000E+0 1.50000000E+2 2.01800000E+3 0.00000000E+0 5.80093861E+1 2.76287834E-1 -6.14405844E+2 5.35633862E-3 8.45712423E-1 3.14858769E-3 -2.01332569E-1 7.76098783E-3
07 25 2014 15 45 33 36 1.00000000E+2 0.00000000E+0 2.00000000E+2 2.02250000E+3 0.00000000E+0 5.79796731E+1 2.95254843E-1 -6.14307207E+2 4.88801505E-3 5.37484884E-1 5.17309716E-3 -5.44883311E-1 8.93716941E-3
07 25 2014 15 45 37 40 1.00000000E+2 0.00000000E+0 2.50000000E+2 2.02700000E+3 0.00000000E+0 5.79414964E+1 3.01234183E-1 -6.14342294E+2 4.84092873E-3 3.57705355E-1 4.54713724E-3 -1.13570690E+0 4.26566262E-3
07 25 2014 15 45 42 45 1.00000000E+2 0.00000000E+0 3.00000000E+2 2.03160000E+3 0.00000000E+0 5.79806417E+1 2.96819072E-1 -6.14399168E+2 6.02648648E-3 4.09796834E-1 3.18503040E-3 -1.35856867E+0 4.68478858E-3
07 25 2014 15 45 46 49 1.00000000E+2 0.00000000E+0 3.50000000E+2 2.03610000E+3 0.00000000E+0 5.80223203E+1 2.91965628E-1 -6.14445329E+2 4.11939026E-3 5.98269701E-1 2.85402784E-3 -1.28039122E+0 4.80868527E-3
07 25 2014 15 45 51 54 1.00000000E+2 0.00000000E+0 4.00000000E+2 2.04060000E+3 0.00000000E+0 5.79785556E+1 3.12952114E-1 -6.14462408E+2 3.49591209E-3 6.85870647E-1 3.46405048E-3 -9.15490091E-1 8.99407230E-3
07 25 2014 15 45 56 58 1.00000000E+2 0.00000000E+0 4.50000000E+2 2.04510000E+3 0.00000000E+0 5.79496622E+1 2.72608886E-1 -6.14356568E+2 3.76179920E-3 7.31408596E-1 4.39664669E-3 -3.16983461E-1 7.83365642E-3
07 25 2014 15 46 00 63 1.00000000E+2 0.00000000E+0 5.00000000E+2 2.04960000E+3 0.00000000E+0 5.79866767E+1 2.91037726E-1 -6.14050140E+2 4.82100004E-3 9.09674168E-1 3.59295004E-3 5.61761856E-1 7.03578289E-3
07 25 2014 15 46 05 67 1.00000000E+2 0.00000000E+0 5.50000000E+2 2.05410000E+3 0.00000000E+0 5.80177307E+1 2.82370072E-1 -6.13392656E+2 6.36079049E-3 1.20328069E+0 5.10740219E-3 1.83543563E+0 7.55134011E-3
07 25 2014 15 46 09 72 1.00000000E+2 0.00000000E+0 6.00000000E+2 2.05870000E+3 0.00000000E+0 5.79468608E+1 2.80501437E-1 -6.12272964E+2 3.73711561E-3 1.25325918E+0 4.38325518E-3 3.70680094E+0 1.50167798E-2
07 25 2014 15 46 14 76 1.00000000E+2 0.00000000E+0 6.50000000E+2 2.06320000E+3 0.00000000E+0 5.79340458E+1 3.02302210E-1 -6.10384881E+2 4.75887243E-3 1.22631788E+0 3.59086775E-3 6.70030713E+0 7.65473100E-3
07 25 2014 15 46 18 81 1.00000000E+2 0.00000000E+0 7.00000000E+2 2.06770000E+3 0.00000000E+0 5.79768419E+1 3.02814196E-1 -6.07096708E+2 5.40230849E-3 9.71287489E-1 4.71392640E-3 1.15834713E+1 1.29901915E-2
07 25 2014 15 46 23 85 1.00000000E+2 0.00000000E+0 7.50000000E+2 2.07220000E+3 0.00000000E+0 5.80442697E+1 2.53014228E-1 -6.01318830E+2 6.57195959E-3 7.91534781E-1 4.69284545E-3 1.95550397E+1 1.77730866E-2
07 25 2014 15 46 27 90 1.00000000E+2 0.00000000E+0 8.00000000E+2 2.07670000E+3 0.00000000E+0 5.79925179E+1 2.76820262E-1 -5.91247184E+2 6.22429975E-3 6.70057535E-1 3.54609278E-3 3.21021616E+1 1.40554979E-2
