Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
07 18 2014 16 02 19 187 1.00000000E+2 0.00000000E+0 0.00000000E+0 1.48854040E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.93994866E+2 3.90196690E-3 -1.46626390E+0 3.01854755E-3 1.96376572E+0 3.75791993E-2
07 18 2014 16 02 23 190 1.00000000E+2 0.00000000E+0 5.00000000E+1 1.48854390E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.93907296E+2 5.69497810E-2 -1.47072771E+0 1.48698406E-2 1.34384988E+0 2.82260034E-1
07 18 2014 16 02 26 194 1.00000000E+2 0.00000000E+0 1.00000000E+2 1.48854750E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.93747827E+2 6.97574891E-2 -1.54303421E+0 4.00742267E-2 1.20567734E+0 1.15228342E-1
07 18 2014 16 02 30 198 1.00000000E+2 0.00000000E+0 1.50000000E+2 1.48855100E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.93582219E+2 6.56082310E-2 -1.60320303E+0 2.54693526E-2 1.40062553E+0 1.57622382E-1
07 18 2014 16 02 33 201 1.00000000E+2 0.00000000E+0 2.00000000E+2 1.48855450E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.93437694E+2 5.03212794E-2 -1.50689972E+0 6.98404894E-2 1.58248019E+0 7.76939012E-2
07 18 2014 16 02 37 205 1.00000000E+2 0.00000000E+0 2.50000000E+2 1.48855800E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.93299536E+2 5.88234828E-2 -1.40599350E+0 2.62683682E-2 1.70658773E+0 6.84935299E-2
07 18 2014 16 02 40 208 1.00000000E+2 0.00000000E+0 3.00000000E+2 1.48856150E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.93178827E+2 3.91290837E-2 -1.39318295E+0 7.26500938E-3 1.84789344E+0 6.30555077E-2
07 18 2014 16 02 44 212 1.00000000E+2 0.00000000E+0 3.50000000E+2 1.48856500E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.93080815E+2 4.20632646E-2 -1.43487526E+0 2.32172343E-2 1.83925665E+0 4.50056026E-2
07 18 2014 16 02 47 215 1.00000000E+2 0.00000000E+0 4.00000000E+2 1.48856860E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.92945322E+2 6.45386464E-2 -1.40875845E+0 3.91701315E-2 1.68953369E+0 6.82287343E-2
07 18 2014 16 02 51 219 1.00000000E+2 0.00000000E+0 4.50000000E+2 1.48857210E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.92721279E+2 1.06679215E-1 -1.33339327E+0 2.93482463E-2 1.45353666E+0 1.19592126E-1
07 18 2014 16 02 54 222 1.00000000E+2 0.00000000E+0 5.00000000E+2 1.48857560E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.92344033E+2 1.79777539E-1 -1.32661969E+0 1.33025249E-2 1.08067669E+0 1.82540820E-1
07 18 2014 16 02 58 226 1.00000000E+2 0.00000000E+0 5.50000000E+2 1.48857910E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.91705709E+2 3.02197254E-1 -1.40877802E+0 4.61418736E-2 4.85071495E-1 2.69485029E-1
07 18 2014 16 03 01 229 1.00000000E+2 0.00000000E+0 6.00000000E+2 1.48858260E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.90645818E+2 4.97558610E-1 -1.52284088E+0 5.18390126E-2 -4.23472939E-1 4.30175061E-1
07 18 2014 16 03 05 233 1.00000000E+2 0.00000000E+0 6.50000000E+2 1.48858610E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.88901680E+2 8.36961987E-1 -1.56840638E+0 9.29960605E-3 -1.97955922E+0 7.47971305E-1
07 18 2014 16 03 08 236 1.00000000E+2 0.00000000E+0 7.00000000E+2 1.48858970E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.85969354E+2 1.39280060E+0 -1.56735306E+0 9.53779818E-3 -4.59487047E+0 1.24285200E+0
07 18 2014 16 03 12 240 1.00000000E+2 0.00000000E+0 7.50000000E+2 1.48859320E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.81047460E+2 2.32755910E+0 -1.51851462E+0 2.41974377E-2 -8.89264470E+0 2.00985971E+0
07 18 2014 16 03 15 243 1.00000000E+2 0.00000000E+0 8.00000000E+2 1.48859670E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.72853056E+2 3.87830989E+0 -1.38649254E+0 6.78095181E-2 -1.58079863E+1 3.22848568E+0
07 18 2014 16 03 19 247 1.00000000E+2 0.00000000E+0 8.50000000E+2 1.48860020E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.59305587E+2 6.46260396E+0 -1.12825187E+0 1.37814312E-1 -2.65592853E+1 5.02257762E+0
07 18 2014 16 03 22 250 1.00000000E+2 0.00000000E+0 9.00000000E+2 1.48860370E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.37007564E+2 1.04913803E+1 -8.22615268E-1 1.10375880E-1 -4.24777892E+1 7.14752480E+0
07 18 2014 16 03 26 254 1.00000000E+2 0.00000000E+0 9.50000000E+2 1.48860720E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.01796783E+2 1.63208528E+1 -5.76339551E-1 1.17953992E-1 -6.35510701E+1 9.03763219E+0
07 18 2014 16 03 29 257 1.00000000E+2 0.00000000E+0 1.00000000E+3 1.48861070E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 4.49838321E+2 2.32151702E+1 -1.51410032E-1 2.10688426E-1 -8.68458196E+1 9.08718884E+0
07 18 2014 16 03 33 261 1.00000000E+2 0.00000000E+0 1.05000000E+3 1.48861430E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 3.81993799E+2 2.89129467E+1 5.43771368E-1 2.80344378E-1 -1.05180370E+2 5.83501445E+0
07 18 2014 16 03 36 264 1.00000000E+2 0.00000000E+0 1.10000000E+3 1.48861780E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 3.06438805E+2 3.04612071E+1 1.23263473E+0 2.98589736E-1 -1.10234663E+2 1.10902991E+0
07 18 2014 16 03 40 268 1.00000000E+2 0.00000000E+0 1.15000000E+3 1.48862130E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 2.35514634E+2 2.62002667E+1 2.15532709E+0 4.31636897E-1 -9.79518161E+1 7.50036435E+0
07 18 2014 16 03 43 271 1.00000000E+2 0.00000000E+0 1.20000000E+3 1.48862480E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 1.80140826E+2 1.89743819E+1 3.58684205E+0 6.25276780E-1 -7.29922803E+1 1.11273060E+1
07 18 2014 16 03 47 275 1.00000000E+2 0.00000000E+0 1.25000000E+3 1.48862830E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 1.42807030E+2 1.20448437E+1 5.23302270E+0 6.65375487E-1 -4.45152076E+1 1.10508875E+1
