Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
07 18 2014 16 38 22 9 1.00000000E+2 0.00000000E+0 0.00000000E+0 1.49070340E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 7.14793205E-1 2.76253429E-3 2.69564629E-1 2.47129836E-3 -3.37486267E-1 3.76310765E-3
07 18 2014 16 38 25 12 1.00000000E+2 0.00000000E+0 5.00000000E+1 1.49070690E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 7.11168816E-1 3.92622576E-3 2.72661892E-1 3.06137080E-3 -3.40634318E-1 3.74458668E-3
07 18 2014 16 38 29 16 1.00000000E+2 0.00000000E+0 1.00000000E+2 1.49071040E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 7.05514893E-1 3.57179882E-3 2.72712924E-1 3.70810670E-3 -3.42385335E-1 3.83965453E-3
07 18 2014 16 38 32 19 1.00000000E+2 0.00000000E+0 1.50000000E+2 1.49071390E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 7.05033986E-1 2.83557352E-3 2.68948612E-1 2.48380581E-3 -3.41940282E-1 4.05858705E-3
07 18 2014 16 38 36 23 1.00000000E+2 0.00000000E+0 2.00000000E+2 1.49071740E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 7.06694019E-1 4.30360522E-3 2.72508877E-1 3.33107804E-3 -3.39255404E-1 5.39437841E-3
07 18 2014 16 38 40 26 1.00000000E+2 0.00000000E+0 2.50000000E+2 1.49072090E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.85659807E-1 1.76408217E-2 2.66575102E-1 8.27784339E-3 -3.36116819E-1 4.26946629E-3
07 18 2014 16 38 43 30 1.00000000E+2 0.00000000E+0 3.00000000E+2 1.49072440E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.55848589E-1 8.35971979E-3 2.41199536E-1 7.80994934E-3 -3.08919309E-1 1.66011841E-2
07 18 2014 16 38 47 33 1.00000000E+2 0.00000000E+0 3.50000000E+2 1.49072800E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.45198605E-1 4.21111235E-3 2.41465641E-1 3.88230698E-3 -2.75638970E-1 1.27926073E-2
07 18 2014 16 38 50 37 1.00000000E+2 0.00000000E+0 4.00000000E+2 1.49073150E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.27624455E-1 9.29872135E-3 2.50674006E-1 4.83024967E-3 -2.28148788E-1 2.23896255E-2
07 18 2014 16 38 54 40 1.00000000E+2 0.00000000E+0 4.50000000E+2 1.49073500E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.11924413E-1 8.01001806E-3 2.52334040E-1 2.96535406E-3 -1.46070523E-1 3.63761059E-2
07 18 2014 16 38 57 44 1.00000000E+2 0.00000000E+0 5.00000000E+2 1.49073850E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.82239521E-1 1.16373219E-2 2.59490155E-1 4.28315196E-3 -3.89814377E-2 5.11151299E-2
07 18 2014 16 39 01 47 1.00000000E+2 0.00000000E+0 5.50000000E+2 1.49074200E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.51742135E-1 1.58611359E-2 2.70099351E-1 4.07699849E-3 1.39137109E-1 7.93068602E-2
07 18 2014 16 39 04 51 1.00000000E+2 0.00000000E+0 6.00000000E+2 1.49074550E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.16298992E-1 1.43741253E-2 2.76149209E-1 4.40460681E-3 4.05272441E-1 1.23605920E-1
07 18 2014 16 39 08 54 1.00000000E+2 0.00000000E+0 6.50000000E+2 1.49074900E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 4.88418252E-1 1.01960483E-2 2.90258607E-1 7.84912397E-3 7.95095714E-1 1.75910917E-1
07 18 2014 16 39 11 58 1.00000000E+2 0.00000000E+0 7.00000000E+2 1.49075260E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 4.78488296E-1 4.73798721E-3 3.18532559E-1 1.47576857E-2 1.36059612E+0 2.55893878E-1
07 18 2014 16 39 15 61 1.00000000E+2 0.00000000E+0 7.50000000E+2 1.49075610E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.30047203E-1 3.86297057E-2 3.70438419E-1 2.35484899E-2 2.18009059E+0 3.64855855E-1
07 18 2014 16 39 18 65 1.00000000E+2 0.00000000E+0 8.00000000E+2 1.49075960E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 7.43602261E-1 1.04029911E-1 4.08705437E-1 1.66369921E-2 3.38872996E+0 5.47941894E-1
07 18 2014 16 39 22 68 1.00000000E+2 0.00000000E+0 8.50000000E+2 1.49076310E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 1.14674888E+0 2.04487960E-1 4.64478535E-1 4.78421697E-2 5.12678410E+0 7.71153496E-1
07 18 2014 16 39 25 72 1.00000000E+2 0.00000000E+0 9.00000000E+2 1.49076660E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 1.96875387E+0 4.16821341E-1 6.47089375E-1 9.33129828E-2 7.50542755E+0 1.03647120E+0
07 18 2014 16 39 29 75 1.00000000E+2 0.00000000E+0 9.50000000E+2 1.49077010E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 3.54339649E+0 7.61776683E-1 9.85535223E-1 1.62517197E-1 1.06330558E+1 1.36111654E+0
07 18 2014 16 39 32 79 1.00000000E+2 0.00000000E+0 1.00000000E+3 1.49077370E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.20091851E+0 1.24663774E+0 1.51392061E+0 2.23048733E-1 1.45676403E+1 1.68254085E+0
07 18 2014 16 39 36 82 1.00000000E+2 0.00000000E+0 1.05000000E+3 1.49077720E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 1.03503141E+1 1.90695532E+0 2.16161482E+0 2.85545242E-1 1.92363082E+1 1.93485373E+0
07 18 2014 16 39 39 86 1.00000000E+2 0.00000000E+0 1.10000000E+3 1.49078070E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 1.62536351E+1 2.64181650E+0 2.99088991E+0 3.67652145E-1 2.42126753E+1 1.97754647E+0
07 18 2014 16 39 43 89 1.00000000E+2 0.00000000E+0 1.15000000E+3 1.49078420E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 2.38424397E+1 3.21041140E+0 4.00442864E+0 4.22012713E-1 2.89040946E+1 1.74443334E+0
07 18 2014 16 39 46 93 1.00000000E+2 0.00000000E+0 1.20000000E+3 1.49078770E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 3.25378589E+1 3.55081598E+0 5.13114502E+0 4.54919008E-1 3.27483665E+1 1.35850833E+0
07 18 2014 16 39 50 96 1.00000000E+2 0.00000000E+0 1.25000000E+3 1.49079120E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 4.17236196E+1 3.65478234E+0 6.29826980E+0 4.60246096E-1 3.55353320E+1 9.51409771E-1
