Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
08 07 2014 13 38 30 10 1.00000000E+2 0.00000000E+0 0.00000000E+0 1.11761400E+6 0.00000000E+0 5.70550784E+2 2.25794636E-2 -6.00003582E+2 2.80326586E-3 2.05089152E+0 2.60915886E-3 3.99050117E+0 2.22899271E-2
08 07 2014 13 38 35 15 1.00000000E+2 0.00000000E+0 5.00000000E+1 1.11761850E+6 0.00000000E+0 5.71003854E+2 5.20051087E-2 -6.00146434E+2 3.48431226E-3 1.88965797E+0 3.97361371E-3 4.28802967E+0 4.63044689E-3
08 07 2014 13 38 40 19 1.00000000E+2 0.00000000E+0 1.00000000E+2 1.11762300E+6 0.00000000E+0 5.71298227E+2 4.29058920E-2 -6.00200298E+2 4.23546540E-3 1.97235495E+0 4.39292702E-3 4.42478806E+0 6.12960191E-3
08 07 2014 13 38 44 24 1.00000000E+2 0.00000000E+0 1.50000000E+2 1.11762750E+6 0.00000000E+0 5.71546078E+2 4.54205590E-2 -6.00000958E+2 6.15964471E-3 2.12418437E+0 4.17142425E-3 4.55054045E+0 3.51533920E-3
08 07 2014 13 38 49 28 1.00000000E+2 0.00000000E+0 2.00000000E+2 1.11763200E+6 0.00000000E+0 5.71410879E+2 3.73620976E-2 -5.99933344E+2 4.16781772E-3 2.08190829E+0 3.75908779E-3 4.38664109E+0 6.90210034E-3
08 07 2014 13 38 53 33 1.00000000E+2 0.00000000E+0 2.50000000E+2 1.11763650E+6 0.00000000E+0 5.70969343E+2 3.52543103E-2 -6.00122032E+2 5.35108851E-3 2.03298926E+0 4.42631264E-3 4.14216518E+0 1.41878825E-2
08 07 2014 13 38 58 37 1.00000000E+2 0.00000000E+0 3.00000000E+2 1.11764110E+6 0.00000000E+0 5.71007907E+2 2.95421259E-2 -6.00373385E+2 4.84543504E-3 2.05883980E+0 3.55458792E-3 4.18177247E+0 1.30600908E-2
08 07 2014 13 39 02 42 1.00000000E+2 0.00000000E+0 3.50000000E+2 1.11764560E+6 0.00000000E+0 5.71917772E+2 3.95871588E-2 -6.00436974E+2 3.79207453E-3 2.26679444E+0 2.77661226E-3 4.64180708E+0 6.95169266E-3
08 07 2014 13 39 07 46 1.00000000E+2 0.00000000E+0 4.00000000E+2 1.11765010E+6 0.00000000E+0 5.72051525E+2 4.58009998E-2 -6.00484488E+2 3.94648347E-3 2.49902606E+0 3.10167891E-3 5.14245033E+0 6.28670270E-3
08 07 2014 13 39 11 51 1.00000000E+2 0.00000000E+0 4.50000000E+2 1.11765460E+6 0.00000000E+0 5.70925772E+2 3.39316918E-2 -6.00545652E+2 3.31271441E-3 2.74069905E+0 2.98443924E-3 5.80968857E+0 4.98021874E-3
08 07 2014 13 39 16 55 1.00000000E+2 0.00000000E+0 5.00000000E+2 1.11765910E+6 0.00000000E+0 5.70861697E+2 2.39435962E-2 -6.00336328E+2 4.20764728E-3 2.99335122E+0 2.94767338E-3 6.89544678E+0 2.85693031E-2
08 07 2014 13 39 20 60 1.00000000E+2 0.00000000E+0 5.50000000E+2 1.11766360E+6 0.00000000E+0 5.70845008E+2 2.74716422E-2 -5.99602294E+2 4.80586254E-3 3.32359970E+0 3.30473580E-3 8.28686357E+0 3.10393002E-2
08 07 2014 13 39 25 64 1.00000000E+2 0.00000000E+0 6.00000000E+2 1.11766820E+6 0.00000000E+0 5.70826590E+2 3.46333249E-2 -5.98571806E+2 4.40042232E-3 3.36838961E+0 2.86856815E-3 9.93058681E+0 2.04195091E-2
08 07 2014 13 39 29 69 1.00000000E+2 0.00000000E+0 6.50000000E+2 1.11767270E+6 0.00000000E+0 5.70830703E+2 2.31401168E-2 -5.97057694E+2 3.63769252E-3 3.20922583E+0 2.16137050E-3 1.25889331E+1 1.23179504E-2
08 07 2014 13 39 34 74 1.00000000E+2 0.00000000E+0 7.00000000E+2 1.11767720E+6 0.00000000E+0 5.70814490E+2 2.91512290E-2 -5.94532695E+2 5.02129178E-3 2.85512209E+0 4.09287258E-3 1.70202971E+1 2.04702427E-2
08 07 2014 13 39 38 78 1.00000000E+2 0.00000000E+0 7.50000000E+2 1.11768170E+6 0.00000000E+0 5.70855498E+2 3.20178254E-2 -5.89945693E+2 6.76742643E-3 2.50079036E+0 8.32376475E-3 2.42470205E+1 3.04782872E-2
08 07 2014 13 39 43 83 1.00000000E+2 0.00000000E+0 8.00000000E+2 1.11768620E+6 0.00000000E+0 5.71204841E+2 2.19888466E-2 -5.82071514E+2 6.90098774E-3 2.15707421E+0 5.28063444E-3 3.55146766E+1 1.63387513E-2
08 07 2014 13 39 47 87 1.00000000E+2 0.00000000E+0 8.50000000E+2 1.11769070E+6 0.00000000E+0 5.71086884E+2 2.67103864E-2 -5.68489268E+2 9.04249959E-3 1.82206631E+0 4.48204902E-3 5.29416502E+1 2.46567766E-2
08 07 2014 13 39 52 92 1.00000000E+2 0.00000000E+0 9.00000000E+2 1.11769530E+6 0.00000000E+0 5.71019292E+2 2.52113890E-2 -5.44881163E+2 9.38952657E-3 1.72696114E+0 5.34417701E-3 7.89532304E+1 1.49120793E-2
08 07 2014 13 39 56 96 1.00000000E+2 0.00000000E+0 9.50000000E+2 1.11769980E+6 0.00000000E+0 5.70683002E+2 3.76841902E-2 -5.05371130E+2 1.63042411E-2 1.93266273E+0 3.33792173E-3 1.15587246E+2 3.60062930E-2
08 07 2014 13 40 01 101 1.00000000E+2 0.00000000E+0 1.00000000E+3 1.11770430E+6 0.00000000E+0 5.70778027E+2 3.57275862E-2 -4.42269233E+2 2.52915284E-2 2.07736343E+0 4.42719158E-3 1.61252104E+2 7.60696975E-2
08 07 2014 13 40 05 105 1.00000000E+2 0.00000000E+0 1.05000000E+3 1.11770880E+6 0.00000000E+0 5.70929706E+2 3.33213562E-2 -3.45771551E+2 7.83036414E-3 2.62033343E+0 6.63712049E-3 2.09188443E+2 5.44631262E-2
08 07 2014 13 40 10 110 1.00000000E+2 0.00000000E+0 1.10000000E+3 1.11771330E+6 0.00000000E+0 5.70945218E+2 2.84973167E-2 -2.19533600E+2 9.46712102E-3 4.03521955E+0 4.79232711E-3 2.34278917E+2 4.32650788E-2
08 07 2014 13 40 14 114 1.00000000E+2 0.00000000E+0 1.15000000E+3 1.11771780E+6 0.00000000E+0 5.70938170E+2 3.21604133E-2 -1.10312599E+2 1.47567464E-2 5.71506619E+0 1.71172898E-2 2.07896376E+2 2.90402452E-2
08 07 2014 13 40 19 119 1.00000000E+2 0.00000000E+0 1.20000000E+3 1.11772240E+6 0.00000000E+0 5.70952520E+2 3.67652446E-2 -4.41228524E+1 1.56610774E-2 6.60083443E+0 6.17410813E-3 1.56033508E+2 1.95716565E-2
08 07 2014 13 40 23 123 1.00000000E+2 0.00000000E+0 1.25000000E+3 1.11772690E+6 0.00000000E+0 5.70962012E+2 2.19138869E-2 -5.10017872E+0 1.38580695E-2 7.17816949E+0 8.44614742E-3 1.13742501E+2 1.91316641E-2
08 07 2014 13 42 25 245 0.00000000E+0 0.00000000E+0 0.00000000E+0 1.11784830E+6 0.00000000E+0 5.70816517E+2 2.33902319E-2 -5.99669697E+2 4.26814400E-3 2.22311020E+0 7.87993384E-3 4.62018251E+0 1.31024199E-1
08 07 2014 13 42 29 249 0.00000000E+0 0.00000000E+0 5.00000000E+1 1.11785280E+6 0.00000000E+0 5.70897400E+2 6.12294383E-2 -5.99585009E+2 4.33622481E-3 2.02800632E+0 7.01330331E-3 4.49065566E+0 7.25445534E-2
08 07 2014 13 42 34 254 0.00000000E+0 0.00000000E+0 1.00000000E+2 1.11785740E+6 0.00000000E+0 5.72169423E+2 4.24492212E-2 -5.99500510E+2 4.21949135E-3 1.98333710E+0 5.73229679E-3 4.30893153E+0 7.40409332E-2
08 07 2014 13 42 38 258 0.00000000E+0 0.00000000E+0 1.50000000E+2 1.11786190E+6 0.00000000E+0 5.72058439E+2 4.80359644E-2 -5.99444535E+2 3.48839698E-3 2.06322074E+0 7.17265616E-3 4.10879254E+0 5.57931847E-2
08 07 2014 13 42 43 263 0.00000000E+0 0.00000000E+0 2.00000000E+2 1.11786640E+6 0.00000000E+0 5.72833866E+2 2.71974019E-2 -5.99476531E+2 3.27150922E-3 1.93548203E+0 2.84341853E-3 3.41776758E+0 9.62275410E-3
08 07 2014 13 42 47 267 0.00000000E+0 0.00000000E+0 2.50000000E+2 1.11787090E+6 0.00000000E+0 5.74821234E+2 3.54793257E-2 -5.99630547E+2 4.82254873E-3 1.87362432E+0 4.73340604E-3 2.83201337E+0 1.61282016E-2
08 07 2014 13 42 52 272 0.00000000E+0 0.00000000E+0 3.00000000E+2 1.11787540E+6 0.00000000E+0 5.74055016E+2 4.39075247E-2 -5.99856408E+2 3.63030615E-3 1.78828835E+0 3.74402181E-3 2.01563239E+0 2.72728256E-2
08 07 2014 13 42 56 276 0.00000000E+0 0.00000000E+0 3.50000000E+2 1.11787990E+6 0.00000000E+0 5.72784901E+2 4.74913381E-2 -6.00088763E+2 3.63722946E-3 2.01851726E+0 3.72732383E-3 1.56449676E+0 2.35554938E-2
08 07 2014 13 43 01 281 0.00000000E+0 0.00000000E+0 4.00000000E+2 1.11788450E+6 0.00000000E+0 5.71467817E+2 4.79986977E-2 -6.00216215E+2 2.97830017E-3 2.42403746E+0 3.29389787E-3 2.05195546E+0 1.56671971E-2
08 07 2014 13 43 06 285 0.00000000E+0 0.00000000E+0 4.50000000E+2 1.11788900E+6 0.00000000E+0 5.69949090E+2 7.31299505E-2 -6.00088534E+2 4.48085671E-3 2.63091326E+0 3.32351070E-3 3.07682753E+0 1.29707446E-2
08 07 2014 13 43 10 290 0.00000000E+0 0.00000000E+0 5.00000000E+2 1.11789350E+6 0.00000000E+0 5.69867790E+2 4.57429499E-2 -5.99525075E+2 3.51748406E-3 2.85529494E+0 3.13625858E-3 3.87704372E+0 1.16047850E-2
08 07 2014 13 43 15 294 0.00000000E+0 0.00000000E+0 5.50000000E+2 1.11789800E+6 0.00000000E+0 5.71240038E+2 4.81028317E-2 -5.98342219E+2 3.36622352E-3 3.05841863E+0 3.62126219E-3 4.49248403E+0 1.25163107E-2
08 07 2014 13 43 19 299 0.00000000E+0 0.00000000E+0 6.00000000E+2 1.11790250E+6 0.00000000E+0 5.71667790E+2 3.32418577E-2 -5.96340315E+2 4.31942036E-3 3.10312510E+0 3.38986671E-3 5.05646467E+0 1.55900335E-2
08 07 2014 13 43 24 303 0.00000000E+0 0.00000000E+0 6.50000000E+2 1.11790700E+6 0.00000000E+0 5.70656434E+2 3.10546301E-2 -5.93139616E+2 3.39663925E-3 2.93528289E+0 2.66149923E-3 5.78940660E+0 6.89719150E-3
08 07 2014 13 43 28 308 0.00000000E+0 0.00000000E+0 7.00000000E+2 1.11791160E+6 0.00000000E+0 5.70932806E+2 3.34999984E-2 -5.88045385E+2 3.53288170E-3 2.56245732E+0 2.93138910E-3 6.77622557E+0 7.66908328E-3
