Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
09 16 2014 13 35 23 16 0.00000000E+0 0.00000000E+0 2.50000000E+2 9.47356600E+5 0.00000000E+0 6.57204539E+1 4.52217203E-1 2.07662582E-1 2.68895572E-3 8.66055489E-2 2.79773815E-3 6.27301633E-1 2.62845671E-3
09 16 2014 13 35 28 20 0.00000000E+0 0.00000000E+0 3.00000000E+2 9.47361100E+5 0.00000000E+0 6.56355619E+1 4.31038855E-1 2.03365088E-1 2.34288118E-3 7.09354877E-2 2.15323964E-3 7.05772638E-1 3.51478065E-3
09 16 2014 13 35 32 25 0.00000000E+0 0.00000000E+0 3.50000000E+2 9.47365600E+5 0.00000000E+0 6.55805320E+1 4.50485679E-1 2.27920711E-1 2.08643219E-3 6.97746873E-2 2.19712725E-3 8.28325748E-1 3.12834492E-3
09 16 2014 13 35 37 29 0.00000000E+0 0.00000000E+0 4.00000000E+2 9.47370100E+5 0.00000000E+0 6.57065511E+1 4.37156517E-1 2.54946947E-1 3.08814553E-3 5.16474247E-2 2.10063261E-3 1.00262165E+0 3.67598658E-3
09 16 2014 13 35 41 34 0.00000000E+0 0.00000000E+0 4.50000000E+2 9.47374700E+5 0.00000000E+0 6.56288266E+1 4.26683982E-1 2.66277790E-1 2.08175703E-3 1.80959702E-2 2.12988357E-3 1.23025775E+0 3.02476611E-3
09 16 2014 13 35 46 38 0.00000000E+0 0.00000000E+0 5.00000000E+2 9.47379200E+5 0.00000000E+0 6.56679273E+1 4.36594735E-1 2.95758247E-1 2.37821786E-3 1.10268593E-3 2.31410056E-3 1.51106119E+0 3.25965969E-3
09 16 2014 13 35 50 43 0.00000000E+0 0.00000000E+0 5.50000000E+2 9.47383700E+5 0.00000000E+0 6.56474233E+1 4.35486240E-1 3.71623039E-1 2.68556012E-3 -8.61883163E-3 1.92262001E-3 1.87307000E+0 2.92398043E-3
09 16 2014 13 35 55 47 0.00000000E+0 0.00000000E+0 6.00000000E+2 9.47388200E+5 0.00000000E+0 6.56550527E+1 4.17286194E-1 4.67175245E-1 2.38245192E-3 -2.15530396E-2 2.16540613E-3 2.35020518E+0 3.83278576E-3
09 16 2014 13 35 59 52 0.00000000E+0 0.00000000E+0 6.50000000E+2 9.47392700E+5 0.00000000E+0 6.57013059E+1 4.47829924E-1 6.12759590E-1 1.94249584E-2 -4.23312187E-2 4.32346620E-3 2.98898220E+0 2.70692000E-3
09 16 2014 13 36 04 56 0.00000000E+0 0.00000000E+0 7.00000000E+2 9.47397200E+5 0.00000000E+0 6.55655563E+1 4.44158280E-1 8.85710120E-1 3.33867602E-3 -4.09483910E-2 2.35097322E-3 3.85328382E+0 4.12372686E-3
09 16 2014 13 36 08 61 0.00000000E+0 0.00000000E+0 7.50000000E+2 9.47401700E+5 0.00000000E+0 6.55111074E+1 4.62664801E-1 1.27938986E+0 2.73487601E-3 2.80380249E-2 2.31820976E-3 5.00449538E+0 3.53946371E-3
09 16 2014 13 36 13 65 0.00000000E+0 0.00000000E+0 8.00000000E+2 9.47406300E+5 0.00000000E+0 6.55268133E+1 4.45952350E-1 1.89056993E+0 2.85024068E-3 1.39914453E-1 3.16798360E-3 6.51917607E+0 3.27199099E-3
09 16 2014 13 36 18 70 0.00000000E+0 0.00000000E+0 8.50000000E+2 9.47410800E+5 0.00000000E+0 6.57473803E+1 4.74301123E-1 2.84571648E+0 4.52440191E-3 3.03423405E-1 3.95355459E-3 8.47973824E+0 3.90089518E-3
09 16 2014 13 36 22 74 0.00000000E+0 0.00000000E+0 9.00000000E+2 9.47415300E+5 0.00000000E+0 6.56712055E+1 4.51306215E-1 4.28500175E+0 5.33689443E-3 5.85252047E-1 3.02258934E-3 1.09858632E+1 6.89744882E-3
09 16 2014 13 36 27 79 0.00000000E+0 0.00000000E+0 9.50000000E+2 9.47419800E+5 0.00000000E+0 6.56614304E+1 4.38032883E-1 6.49127364E+0 2.98283488E-3 1.00954175E+0 4.34492922E-3 1.40379012E+1 5.69656241E-3
09 16 2014 13 36 31 83 0.00000000E+0 0.00000000E+0 1.00000000E+3 9.47424300E+5 0.00000000E+0 6.56899214E+1 4.25442801E-1 9.57466364E+0 2.58291942E-3 1.57234073E+0 2.92101170E-3 1.75602317E+1 3.07616381E-3
09 16 2014 13 36 36 88 0.00000000E+0 0.00000000E+0 1.05000000E+3 9.47428800E+5 0.00000000E+0 6.56818748E+1 4.38040886E-1 1.36530340E+1 2.58973707E-3 2.28579640E+0 2.44865191E-3 2.14187384E+1 4.08132527E-3
09 16 2014 13 36 40 92 0.00000000E+0 0.00000000E+0 1.10000000E+3 9.47433400E+5 0.00000000E+0 6.57333732E+1 4.54700692E-1 1.87432826E+1 3.76763992E-3 3.16382051E+0 3.19953334E-3 2.53549695E+1 5.06396206E-3
09 16 2014 13 36 45 97 0.00000000E+0 0.00000000E+0 1.15000000E+3 9.47437900E+5 0.00000000E+0 6.56679273E+1 4.18181859E-1 2.46820271E+1 3.92224879E-3 4.15610671E+0 2.91757855E-3 2.91671038E+1 5.20087401E-3
09 16 2014 13 36 49 101 0.00000000E+0 0.00000000E+0 1.20000000E+3 9.47442400E+5 0.00000000E+0 6.56766891E+1 4.40051241E-1 3.12012732E+1 3.25823103E-3 5.25149107E+0 3.20761725E-3 3.26773465E+1 4.20695380E-3
09 16 2014 13 36 54 106 0.00000000E+0 0.00000000E+0 1.25000000E+3 9.47446900E+5 0.00000000E+0 6.57180697E+1 4.43030804E-1 3.79845202E+1 3.28305644E-3 6.42492622E+0 3.53074726E-3 3.58404145E+1 4.00354391E-3
09 16 2014 13 37 30 142 -1.00000000E+2 0.00000000E+0 2.50000000E+2 9.47483300E+5 0.00000000E+0 6.56975806E+1 4.22982798E-1 2.35192478E-1 2.16312310E-3 -4.46736813E-2 2.75078288E-3 6.74009323E-1 2.94650383E-3
