Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
09 16 2014 18 47 23 13 -6.49468892E+1 -2.99546142E+1 -1.15030675E+2 9.66075800E+5 0.00000000E+0 7.31510669E+1 4.59003336E-1 -2.04794109E-1 1.99877106E-3 2.88933516E-2 2.50807393E-3 3.96594405E-1 2.89554268E-3
09 16 2014 18 47 26 16 -5.49317147E+1 -2.99546142E+1 -1.15030675E+2 9.66079000E+5 0.00000000E+0 7.32189417E+1 4.32000057E-1 -1.73860788E-1 2.89001825E-3 4.39822674E-2 1.52881465E-3 3.87144089E-1 3.50517563E-3
09 16 2014 18 47 29 19 -4.50682853E+1 -2.99546142E+1 -1.15030675E+2 9.66082300E+5 0.00000000E+0 7.31931329E+1 4.62404323E-1 -1.57058239E-1 2.08369626E-3 5.82516193E-2 2.56092695E-3 3.82691622E-1 3.61183854E-3
09 16 2014 18 47 32 22 -3.50531108E+1 -2.99546142E+1 -1.15030675E+2 9.66085500E+5 0.00000000E+0 7.31903315E+1 4.38459913E-1 -1.43192708E-1 1.41266361E-3 7.48485327E-2 2.46962791E-3 3.75941396E-1 2.79023597E-3
09 16 2014 18 47 35 25 -2.50379363E+1 -2.99546142E+1 -1.15030675E+2 9.66088700E+5 0.00000000E+0 7.32564926E+1 4.67043135E-1 -1.31195784E-1 3.23232619E-3 8.96692276E-2 2.34897870E-3 3.69131565E-1 3.55709098E-3
09 16 2014 18 47 40 30 2.50379363E+1 -2.99546142E+1 -1.15030675E+2 9.66093300E+5 0.00000000E+0 7.32413530E+1 4.36760743E-1 -1.35052204E-1 2.73126366E-3 1.84839964E-1 2.00614711E-3 3.51125002E-1 3.49022304E-3
09 16 2014 18 47 43 33 3.50531108E+1 -2.99546142E+1 -1.15030675E+2 9.66096500E+5 0.00000000E+0 7.32219815E+1 4.49300009E-1 -1.51211023E-1 2.86454347E-3 2.09283829E-1 3.03023207E-3 3.44169140E-1 3.20920245E-3
09 16 2014 18 47 47 36 4.50682853E+1 -2.99546142E+1 -1.15030675E+2 9.66099800E+5 0.00000000E+0 7.32199550E+1 4.12982845E-1 -1.72096491E-1 2.58071049E-3 2.30079889E-1 2.11220810E-3 3.38864326E-1 3.25030752E-3
09 16 2014 18 47 50 40 5.49317147E+1 -2.99546142E+1 -1.15030675E+2 9.66103000E+5 0.00000000E+0 7.33052939E+1 4.54324410E-1 -2.02260911E-1 2.59563229E-3 2.51069665E-1 2.12575044E-3 3.35738063E-1 3.44894128E-3
09 16 2014 18 47 53 43 6.49468892E+1 -2.99546142E+1 -1.15030675E+2 9.66106200E+5 0.00000000E+0 7.32574463E+1 4.25389266E-1 -2.36386061E-1 2.71411513E-3 2.73203850E-1 2.00582087E-3 3.28421593E-1 3.44851295E-3
09 16 2014 18 48 00 50 -6.49468892E+1 0.00000000E+0 -1.15030675E+2 9.66113600E+5 0.00000000E+0 7.32471943E+1 4.16074235E-1 -2.27290392E-1 2.61382723E-3 8.49962234E-2 1.93460341E-3 3.73893976E-1 3.36696970E-3
09 16 2014 18 48 04 54 -5.49317147E+1 0.00000000E+0 -1.15030675E+2 9.66116800E+5 0.00000000E+0 7.32379556E+1 4.52617780E-1 -2.01678276E-1 2.90939571E-3 8.85367393E-2 2.65522681E-3 3.69441509E-1 3.09047580E-3
09 16 2014 18 48 07 57 -4.50682853E+1 0.00000000E+0 -1.15030675E+2 9.66120000E+5 0.00000000E+0 7.32608438E+1 4.56360498E-1 -1.85507536E-1 2.41574773E-3 9.53674316E-2 1.65000018E-3 3.65912914E-1 3.11808731E-3
09 16 2014 18 48 10 60 -3.50531108E+1 0.00000000E+0 -1.15030675E+2 9.66123300E+5 0.00000000E+0 7.32136965E+1 4.59433885E-1 -1.76072121E-1 2.44917875E-3 1.03157759E-1 2.06015081E-3 3.62491608E-1 3.58580275E-3
09 16 2014 18 48 13 63 -2.50379363E+1 0.00000000E+0 -1.15030675E+2 9.66126500E+5 0.00000000E+0 7.32141137E+1 4.41125660E-1 -1.66505575E-1 2.35859888E-3 1.11842155E-1 2.72130498E-3 3.61609459E-1 3.01091810E-3
09 16 2014 18 48 18 68 2.50379363E+1 0.00000000E+0 -1.15030675E+2 9.66131100E+5 0.00000000E+0 7.31930733E+1 4.64773285E-1 -1.84422731E-1 2.63752724E-3 1.57511234E-1 2.19167025E-3 3.45838070E-1 3.36817460E-3
09 16 2014 18 48 21 71 3.50531108E+1 0.00000000E+0 -1.15030675E+2 9.66134300E+5 0.00000000E+0 7.32668638E+1 4.34664444E-1 -2.03901529E-1 2.71466622E-3 1.70665979E-1 2.36157785E-3 3.39549780E-1 3.00118335E-3
09 16 2014 18 48 24 74 4.50682853E+1 0.00000000E+0 -1.15030675E+2 9.66137500E+5 0.00000000E+0 7.32347965E+1 5.16780118E-1 -2.21663713E-1 2.23304203E-3 1.81102753E-1 1.90090673E-3 3.38160992E-1 3.36466421E-3
09 16 2014 18 48 27 77 5.49317147E+1 0.00000000E+0 -1.15030675E+2 9.66140800E+5 0.00000000E+0 7.32416511E+1 3.73648487E-1 -2.51257420E-1 2.12513756E-3 1.92499161E-1 1.64709652E-3 3.32909822E-1 3.27252384E-3
09 16 2014 18 48 31 81 6.49468892E+1 0.00000000E+0 -1.15030675E+2 9.66144000E+5 0.00000000E+0 7.32958317E+1 4.23996105E-1 -2.84039974E-1 2.67766685E-3 2.04098225E-1 1.88720411E-3 3.24839354E-1 3.04477839E-3
09 16 2014 18 48 38 88 -6.49468892E+1 2.99546142E+1 -1.15030675E+2 9.66151400E+5 0.00000000E+0 7.32395053E+1 4.58170272E-1 -2.28926539E-1 2.47231176E-3 1.26034021E-1 2.33297179E-3 3.71061265E-1 2.45301659E-3
