Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
09 17 2014 04 40 20 18 -6.49468892E+1 -2.49621785E+1 -1.00000000E+2 1.00165340E+6 0.00000000E+0 7.30686188E+1 4.45375861E-1 3.26444924E+1 2.77213709E-3 1.00970268E-2 2.29763099E-3 -2.00611353E-1 6.89781479E-3
09 17 2014 04 40 23 22 -5.49317147E+1 -2.49621785E+1 -1.00000000E+2 1.00165660E+6 0.00000000E+0 7.31131434E+1 4.51955711E-1 3.26491594E+1 3.00858214E-3 1.86204910E-2 2.18329325E-3 -2.08693743E-1 1.22771420E-2
09 17 2014 04 40 27 25 -4.50682853E+1 -2.49621785E+1 -1.00000000E+2 1.00165990E+6 0.00000000E+0 7.30976462E+1 4.53308378E-1 3.26507762E+1 3.05571918E-3 2.17556953E-2 2.09030240E-3 -2.06053257E-1 7.54033702E-3
09 17 2014 04 40 30 28 -3.50531108E+1 -2.49621785E+1 -1.00000000E+2 1.00166310E+6 0.00000000E+0 7.30551481E+1 4.69414590E-1 3.26533854E+1 2.52421495E-3 2.88605690E-2 2.53527994E-3 -2.12907791E-1 7.81908490E-3
09 17 2014 04 40 33 31 -2.50379363E+1 -2.49621785E+1 -1.00000000E+2 1.00166630E+6 0.00000000E+0 7.31431246E+1 4.69817056E-1 3.26546848E+1 2.26919114E-3 3.39806080E-2 2.06493752E-3 -2.18605995E-1 1.09150685E-2
09 17 2014 04 40 37 35 0.00000000E+0 -2.49621785E+1 -1.00000000E+2 1.00167010E+6 0.00000000E+0 7.30847716E+1 4.40265529E-1 3.26518297E+1 2.12665040E-3 5.50448895E-2 1.73350362E-3 -2.30556726E-1 8.74445996E-3
09 17 2014 04 40 41 39 2.50379363E+1 -2.49621785E+1 -1.00000000E+2 1.00167390E+6 0.00000000E+0 7.30355829E+1 4.57778308E-1 3.26471180E+1 2.97334989E-3 6.82622194E-2 2.29298482E-3 -2.43335962E-1 5.21686511E-3
09 17 2014 04 40 44 42 3.50531108E+1 -2.49621785E+1 -1.00000000E+2 1.00167720E+6 0.00000000E+0 7.30629563E+1 4.39626268E-1 3.26474190E+1 2.44991157E-3 6.98924065E-2 2.36310549E-3 -2.46280432E-1 1.17533267E-2
09 17 2014 04 40 47 45 4.50682853E+1 -2.49621785E+1 -1.00000000E+2 1.00168040E+6 0.00000000E+0 7.31234550E+1 4.56994177E-1 3.26459825E+1 2.30126587E-3 7.82549381E-2 1.71598406E-3 -2.45171785E-1 7.79026575E-3
09 17 2014 04 40 50 48 5.49317147E+1 -2.49621785E+1 -1.00000000E+2 1.00168360E+6 0.00000000E+0 7.30731487E+1 4.53284084E-1 3.26426089E+1 2.88483758E-3 8.26239586E-2 1.92137474E-3 -2.45696306E-1 6.07006731E-3
09 17 2014 04 40 54 52 6.49468892E+1 -2.49621785E+1 -1.00000000E+2 1.00168680E+6 0.00000000E+0 7.30092078E+1 4.30665392E-1 3.26358601E+1 2.51527599E-3 8.51452351E-2 2.85754390E-3 -2.46636569E-1 7.88699191E-3
09 17 2014 04 41 01 59 -6.49468892E+1 -1.25567322E+1 -1.00000000E+2 1.00169420E+6 0.00000000E+0 7.30992556E+1 4.36423565E-1 3.26454520E+1 2.74055854E-3 5.58495522E-3 1.73841533E-3 -2.12937593E-1 6.51880022E-3
09 17 2014 04 41 04 62 -5.49317147E+1 -1.25567322E+1 -1.00000000E+2 1.00169740E+6 0.00000000E+0 7.30930567E+1 4.34503319E-1 3.26471448E+1 2.85471568E-3 1.55866146E-2 1.71964144E-3 -2.17598677E-1 1.36894557E-2
09 17 2014 04 41 07 66 -4.50682853E+1 -1.25567322E+1 -1.00000000E+2 1.00170070E+6 0.00000000E+0 7.31155872E+1 4.42120511E-1 3.26446593E+1 3.51422733E-3 2.27510929E-2 2.25795671E-3 -2.18284130E-1 1.16645640E-2
09 17 2014 04 41 11 69 -3.50531108E+1 -1.25567322E+1 -1.00000000E+2 1.00170390E+6 0.00000000E+0 7.30465353E+1 4.49783853E-1 3.26408818E+1 3.66083654E-3 2.77385116E-2 2.04619947E-3 -2.20410526E-1 9.38164928E-3
09 17 2014 04 41 14 72 -2.50379363E+1 -1.25567322E+1 -1.00000000E+2 1.00170710E+6 0.00000000E+0 7.30808377E+1 4.72447980E-1 3.26477766E+1 2.55921053E-3 3.48091125E-2 2.53442426E-3 -2.23183632E-1 1.14866639E-2
09 17 2014 04 41 18 76 0.00000000E+0 -1.25567322E+1 -1.00000000E+2 1.00171090E+6 0.00000000E+0 7.31101632E+1 4.58954848E-1 3.26476097E+1 3.25963674E-3 6.01172447E-2 2.79332361E-3 -2.35795975E-1 7.15820190E-3
09 17 2014 04 41 21 80 2.50379363E+1 -1.25567322E+1 -1.00000000E+2 1.00171470E+6 0.00000000E+0 7.31032491E+1 4.30582876E-1 3.26450884E+1 2.36632376E-3 7.43985176E-2 1.72399619E-3 -2.42638588E-1 4.33046684E-3
09 17 2014 04 41 25 83 3.50531108E+1 -1.25567322E+1 -1.00000000E+2 1.00171800E+6 0.00000000E+0 7.30814338E+1 4.50666429E-1 3.26470912E+1 3.14621132E-3 7.57098198E-2 1.87088437E-3 -2.50297785E-1 1.14407761E-2
09 17 2014 04 41 28 86 4.50682853E+1 -1.25567322E+1 -1.00000000E+2 1.00172120E+6 0.00000000E+0 7.30600357E+1 4.50045520E-1 3.26414824E+1 2.68110035E-3 8.35299492E-2 2.06950536E-3 -2.45559216E-1 6.75412392E-3
09 17 2014 04 41 31 89 5.49317147E+1 -1.25567322E+1 -1.00000000E+2 1.00172440E+6 0.00000000E+0 7.31160045E+1 4.36817966E-1 3.26369703E+1 2.64669916E-3 9.00387764E-2 2.55268495E-3 -2.43425369E-1 5.09607329E-3
09 17 2014 04 41 34 92 6.49468892E+1 -1.25567322E+1 -1.00000000E+2 1.00172760E+6 0.00000000E+0 7.30937123E+1 4.31931140E-1 3.26291442E+1 2.82548385E-3 9.11891460E-2 2.74235237E-3 -2.46673822E-1 7.33703118E-3
09 17 2014 04 41 42 100 -6.49468892E+1 0.00000000E+0 -1.00000000E+2 1.00173500E+6 0.00000000E+0 7.31096268E+1 4.24750190E-1 3.26370716E+1 2.35305082E-3 2.30073929E-3 2.09393702E-3 -2.08878517E-1 5.95174955E-3
09 17 2014 04 41 45 103 -5.49317147E+1 0.00000000E+0 -1.00000000E+2 1.00173820E+6 0.00000000E+0 7.31031299E+1 4.47259942E-1 3.26396346E+1 2.70954364E-3 1.54435635E-2 2.69003335E-3 -2.12228298E-1 1.15760106E-2
09 17 2014 04 41 48 106 -4.50682853E+1 0.00000000E+0 -1.00000000E+2 1.00174140E+6 0.00000000E+0 7.31046200E+1 4.36605103E-1 3.26386213E+1 2.05146465E-3 2.48908997E-2 2.26203564E-3 -2.15947628E-1 1.34289981E-2
09 17 2014 04 41 51 110 -3.50531108E+1 0.00000000E+0 -1.00000000E+2 1.00174460E+6 0.00000000E+0 7.31178522E+1 4.41000788E-1 3.26415837E+1 1.95440292E-3 3.26275826E-2 2.11207530E-3 -2.20525265E-1 9.26035265E-3
