Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
07 02 2014 10 29 44 6 0.00000000E+0 0.00000000E+0 2.50000000E+2 8.61676000E+4 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.40942123E+2 3.86759279E-3 -2.06403616E-1 2.73146635E-3 5.28622691E+0 3.20076065E-3
07 02 2014 10 29 48 10 0.00000000E+0 0.00000000E+0 3.00000000E+2 8.61711000E+4 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.40925506E+2 1.95422815E-2 -1.40970403E-1 2.71436351E-2 5.71961295E+0 1.48768921E-1
07 02 2014 10 29 51 13 0.00000000E+0 0.00000000E+0 3.50000000E+2 8.61746000E+4 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.40777488E+2 9.00333980E-2 -2.98041016E-2 5.27316994E-2 5.87486331E+0 7.08996513E-2
07 02 2014 10 29 55 17 0.00000000E+0 0.00000000E+0 4.00000000E+2 8.61781000E+4 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.40367844E+2 2.10990809E-1 4.87316900E-2 2.52405495E-2 6.07823792E+0 9.29544659E-2
07 02 2014 10 29 58 20 0.00000000E+0 0.00000000E+0 4.50000000E+2 8.61817000E+4 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.39563175E+2 3.89205045E-1 4.86872089E-2 2.35536629E-2 6.35461665E+0 1.26452300E-1
07 02 2014 10 30 02 24 0.00000000E+0 0.00000000E+0 5.00000000E+2 8.61852000E+4 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.38177825E+2 6.54856685E-1 4.76909406E-2 1.66236308E-2 6.75081665E+0 1.84297709E-1
07 02 2014 10 30 05 27 0.00000000E+0 0.00000000E+0 5.50000000E+2 8.61887000E+4 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.35905541E+2 1.08370916E+0 1.59101700E-1 7.15119076E-2 7.22408117E+0 2.08073518E-1
07 02 2014 10 30 09 31 0.00000000E+0 0.00000000E+0 6.00000000E+2 8.61922000E+4 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.32174144E+2 1.75535639E+0 3.15082607E-1 6.66851479E-2 7.77231224E+0 2.46307815E-1
07 02 2014 10 30 12 34 0.00000000E+0 0.00000000E+0 6.50000000E+2 8.61957000E+4 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.26112589E+2 2.82945394E+0 5.40309878E-1 1.00834676E-1 8.54638085E+0 3.67068671E-1
07 02 2014 10 30 16 38 0.00000000E+0 0.00000000E+0 7.00000000E+2 8.61992000E+4 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.16379292E+2 4.51286297E+0 8.88013128E-1 1.51327932E-1 9.74565300E+0 5.47524377E-1
