Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
08 07 2014 14 43 36 12 1.00000000E+2 0.00000000E+0 0.00000000E+0 1.12151990E+6 0.00000000E+0 5.71057022E+2 3.25004863E-2 -6.00295200E+2 4.64546002E-3 1.60277486E+0 3.67722243E-3 4.54521179E+0 8.14626907E-3
08 07 2014 14 43 41 16 1.00000000E+2 0.00000000E+0 5.00000000E+1 1.12152440E+6 0.00000000E+0 5.70993006E+2 3.01063862E-2 -6.00447800E+2 3.61409108E-3 1.46270990E+0 3.26397056E-3 4.74243164E+0 6.68360309E-3
08 07 2014 14 43 45 21 1.00000000E+2 0.00000000E+0 1.00000000E+2 1.12152890E+6 0.00000000E+0 5.71925119E+2 4.32385722E-2 -6.00498843E+2 5.14533588E-3 1.53853744E+0 2.34056089E-3 4.89550829E+0 3.27163809E-3
08 07 2014 14 43 50 25 1.00000000E+2 0.00000000E+0 1.50000000E+2 1.12153340E+6 0.00000000E+0 5.71306944E+2 2.82603969E-2 -6.00245800E+2 4.06758998E-3 1.71315074E+0 3.22491309E-3 5.10945916E+0 5.84015070E-3
08 07 2014 14 43 54 30 1.00000000E+2 0.00000000E+0 2.00000000E+2 1.12153790E+6 0.00000000E+0 5.71243837E+2 4.59545627E-2 -6.00163850E+2 4.12924529E-3 1.69483572E+0 3.14396845E-3 4.96258587E+0 1.42300956E-2
08 07 2014 14 43 59 34 1.00000000E+2 0.00000000E+0 2.50000000E+2 1.12154250E+6 0.00000000E+0 5.71669698E+2 3.60939935E-2 -6.00368433E+2 3.71715415E-3 1.56273246E+0 3.86577897E-3 4.73437905E+0 1.87801592E-2
08 07 2014 14 44 04 39 1.00000000E+2 0.00000000E+0 3.00000000E+2 1.12154700E+6 0.00000000E+0 5.71990386E+2 2.94802066E-2 -6.00633034E+2 3.39172671E-3 1.62230432E+0 3.14220703E-3 4.79540974E+0 3.17373316E-2
08 07 2014 14 44 08 43 1.00000000E+2 0.00000000E+0 3.50000000E+2 1.12155150E+6 0.00000000E+0 5.71103871E+2 1.96919549E-2 -6.00673296E+2 4.46240087E-3 1.85389519E+0 3.01588219E-3 5.28486967E+0 2.65764286E-2
08 07 2014 14 44 13 48 1.00000000E+2 0.00000000E+0 4.00000000E+2 1.12155600E+6 0.00000000E+0 5.71302950E+2 2.92264999E-2 -6.00720353E+2 5.09674603E-3 2.06428170E+0 3.03616858E-3 5.64050674E+0 1.95262066E-2
08 07 2014 14 44 17 52 1.00000000E+2 0.00000000E+0 4.50000000E+2 1.12156050E+6 0.00000000E+0 5.71305573E+2 2.87543685E-2 -6.00811558E+2 3.08860785E-3 2.23413706E+0 2.97912778E-3 6.20756745E+0 1.12527159E-2
