Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
07 23 2014 13 37 51 10 1.00000000E+2 0.00000000E+0 0.00000000E+0 1.91188560E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.25011937E-1 2.38861111E-3 1.09027553E-1 2.60935934E-3 6.02006912E-1 3.91529478E-3
07 23 2014 13 37 54 13 1.00000000E+2 0.00000000E+0 5.00000000E+1 1.91188910E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.42124706E-1 5.35794045E-2 1.01486249E-1 4.30387852E-3 6.42338795E-1 3.24499011E-2
07 23 2014 13 37 58 17 1.00000000E+2 0.00000000E+0 1.00000000E+2 1.91189270E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 3.94575631E-1 6.21362840E-2 8.88180377E-2 5.88597660E-3 7.98421120E-1 8.27951751E-2
07 23 2014 13 38 02 20 1.00000000E+2 0.00000000E+0 1.50000000E+2 1.91189620E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 2.24987073E-1 7.09096453E-2 7.90037326E-2 4.10330344E-3 1.09204428E+0 1.38384685E-1
07 23 2014 13 38 05 24 1.00000000E+2 0.00000000E+0 2.00000000E+2 1.91189970E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 1.47534840E-2 9.32696275E-2 7.07444860E-2 4.36181638E-3 1.53956662E+0 2.00743390E-1
07 23 2014 13 38 09 27 1.00000000E+2 0.00000000E+0 2.50000000E+2 1.91190320E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -3.01299673E-1 1.40948356E-1 5.83601720E-2 7.56311538E-3 2.17396382E+0 2.88215134E-1
07 23 2014 13 38 12 31 1.00000000E+2 0.00000000E+0 3.00000000E+2 1.91190670E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -7.11455274E-1 1.82239618E-1 2.39361578E-2 1.55462661E-2 3.11497966E+0 4.29165149E-1
07 23 2014 13 38 16 35 1.00000000E+2 0.00000000E+0 3.50000000E+2 1.91191020E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -1.26150117E+0 2.42113168E-1 4.60290197E-3 4.05231653E-3 4.45465721E+0 6.01206761E-1
07 23 2014 13 38 19 38 1.00000000E+2 0.00000000E+0 4.00000000E+2 1.91191380E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -2.00395976E+0 3.30382499E-1 -6.94972366E-3 5.66820922E-3 6.34536281E+0 8.43068095E-1
07 23 2014 13 38 23 42 1.00000000E+2 0.00000000E+0 4.50000000E+2 1.91191730E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -3.03791886E+0 4.62925278E-1 -3.20281555E-2 1.31580403E-2 8.98915974E+0 1.17284357E+0
07 23 2014 13 38 26 45 1.00000000E+2 0.00000000E+0 5.00000000E+2 1.91192080E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -4.46097598E+0 6.27112166E-1 -6.43675978E-2 1.22636075E-2 1.26616070E+1 1.63146400E+0
07 23 2014 13 38 30 49 1.00000000E+2 0.00000000E+0 5.50000000E+2 1.91192430E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -6.38524988E+0 8.61499462E-1 -1.01979099E-1 2.06228660E-2 1.77535815E+1 2.28803469E+0
07 23 2014 13 38 33 52 1.00000000E+2 0.00000000E+0 6.00000000E+2 1.91192780E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -9.01316529E+0 1.15570080E+0 -1.53675008E-1 2.30320818E-2 2.49270379E+1 3.19105450E+0
07 23 2014 13 38 37 56 1.00000000E+2 0.00000000E+0 6.50000000E+2 1.91193130E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -1.25253201E+1 1.54663510E+0 -2.09895533E-1 3.40290978E-2 3.49011457E+1 4.42691534E+0
07 23 2014 13 38 40 59 1.00000000E+2 0.00000000E+0 7.00000000E+2 1.91193480E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -1.71576540E+1 2.02270665E+0 -3.15135176E-1 6.07558338E-2 4.86615661E+1 6.12111216E+0
07 23 2014 13 38 44 63 1.00000000E+2 0.00000000E+0 7.50000000E+2 1.91193840E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -2.30705863E+1 2.58030396E+0 -4.06281272E-1 3.52280604E-2 6.75479601E+1 8.46575467E+0
07 23 2014 13 38 47 66 1.00000000E+2 0.00000000E+0 8.00000000E+2 1.91194190E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -3.04180419E+1 3.09954160E+0 -4.63750825E-1 1.85450292E-2 9.35718800E+1 1.14800880E+1
07 23 2014 13 38 51 70 1.00000000E+2 0.00000000E+0 8.50000000E+2 1.91194540E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -3.88729519E+1 3.44752620E+0 -4.25667905E-1 3.20037105E-2 1.28645527E+2 1.52986048E+1
07 23 2014 13 38 54 73 1.00000000E+2 0.00000000E+0 9.00000000E+2 1.91194890E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -4.74487081E+1 3.28684463E+0 -2.30748262E-1 1.01211411E-1 1.74742581E+2 1.99624643E+1
07 23 2014 13 38 58 77 1.00000000E+2 0.00000000E+0 9.50000000E+2 1.91195240E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -5.41140618E+1 2.13500609E+0 2.48592911E-1 2.48361220E-1 2.33212121E+2 2.50052113E+1
07 23 2014 13 39 01 80 1.00000000E+2 0.00000000E+0 1.00000000E+3 1.91195590E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -5.56623669E+1 5.90887290E-1 1.19036169E+0 4.57482072E-1 3.03303114E+2 2.96502117E+1
07 23 2014 13 39 05 84 1.00000000E+2 0.00000000E+0 1.05000000E+3 1.91195950E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -4.85695814E+1 4.39667894E+0 2.71746294E+0 6.93204212E-1 3.82270250E+2 3.18881501E+1
07 23 2014 13 39 08 87 1.00000000E+2 0.00000000E+0 1.10000000E+3 1.91196300E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -3.09470216E+1 8.57598883E+0 4.79195011E+0 8.92635143E-1 4.62050408E+2 3.06668073E+1
07 23 2014 13 39 12 91 1.00000000E+2 0.00000000E+0 1.15000000E+3 1.91196650E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -4.30789138E+0 1.16766040E+1 7.15093902E+0 9.42179317E-1 5.32819719E+2 2.59533871E+1
07 23 2014 13 39 15 94 1.00000000E+2 0.00000000E+0 1.20000000E+3 1.91197000E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 2.71871108E+1 1.30068976E+1 9.40331594E+0 8.60844682E-1 5.87849997E+2 1.92131775E+1
07 23 2014 13 39 19 98 1.00000000E+2 0.00000000E+0 1.25000000E+3 1.91197350E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.94808433E+1 1.25092083E+1 1.13876168E+1 7.28985748E-1 6.25158421E+2 1.18464320E+1
07 23 2014 13 39 22 101 1.00000000E+2 0.00000000E+0 1.20000000E+3 1.91197700E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.06061084E+1 1.25098110E+1 1.08651706E+1 7.30414018E-1 6.16628938E+2 1.22014641E+1
07 23 2014 13 39 26 105 1.00000000E+2 0.00000000E+0 1.15000000E+3 1.91198050E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 1.82047288E+1 1.28600683E+1 8.81231554E+0 8.62127660E-1 5.74324840E+2 1.95751799E+1
07 23 2014 13 39 29 108 1.00000000E+2 0.00000000E+0 1.10000000E+3 1.91198410E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -1.23508030E+1 1.16337818E+1 6.51950267E+0 9.39831210E-1 5.14439654E+2 2.66448057E+1
07 23 2014 13 39 33 112 1.00000000E+2 0.00000000E+0 1.05000000E+3 1.91198760E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -3.68444777E+1 8.35967630E+0 4.22544266E+0 8.84262327E-1 4.40092092E+2 3.11328443E+1
07 23 2014 13 39 36 115 1.00000000E+2 0.00000000E+0 1.00000000E+3 1.91199110E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -5.14904332E+1 4.10348182E+0 2.29195161E+0 6.74847457E-1 3.59644642E+2 3.18306695E+1
07 23 2014 13 39 40 119 1.00000000E+2 0.00000000E+0 9.50000000E+2 1.91199460E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -5.58360619E+1 4.23572185E-1 9.64840846E-1 4.23959801E-1 2.82397875E+2 2.91529433E+1
07 23 2014 13 39 43 122 1.00000000E+2 0.00000000E+0 9.00000000E+2 1.91199810E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -5.24695859E+1 2.25192603E+0 1.71031013E-1 2.46890145E-1 2.15201782E+2 2.46603378E+1
07 23 2014 13 39 47 126 1.00000000E+2 0.00000000E+0 8.50000000E+2 1.91200160E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -4.50604798E+1 3.34394844E+0 -2.16557019E-1 1.02045981E-1 1.60629847E+2 1.97923268E+1
07 23 2014 13 39 51 129 1.00000000E+2 0.00000000E+0 8.00000000E+2 1.91200520E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -3.63788836E+1 3.45448774E+0 -3.56425100E-1 3.03726159E-2 1.17843854E+2 1.50804693E+1
07 23 2014 13 39 54 133 1.00000000E+2 0.00000000E+0 7.50000000E+2 1.91200870E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -2.81760105E+1 3.06474570E+0 -3.43386807E-1 2.32485746E-2 8.55360565E+1 1.12092109E+1
07 23 2014 13 39 58 136 1.00000000E+2 0.00000000E+0 7.00000000E+2 1.91201220E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -2.12515015E+1 2.51172806E+0 -2.73670211E-1 3.34705326E-2 6.17741057E+1 8.21722474E+0
07 23 2014 13 40 01 140 1.00000000E+2 0.00000000E+0 6.50000000E+2 1.91201570E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -1.57284665E+1 1.99791071E+0 -1.94343168E-1 3.36213144E-2 4.44682000E+1 6.04170417E+0
07 23 2014 13 40 05 143 1.00000000E+2 0.00000000E+0 6.00000000E+2 1.91201920E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 -1.14150190E+1 1.51833589E+0 -1.21824777E-1 2.50931490E-2 3.18121981E+1 4.34952111E+0
