Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
07 18 2014 16 41 20 187 1.00000000E+2 0.00000000E+0 0.00000000E+0 1.49088160E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.85940618E-1 3.22304553E-3 1.58294387E-1 3.16997782E-3 -2.15981318E-1 3.74910270E-3
07 18 2014 16 41 24 190 1.00000000E+2 0.00000000E+0 5.00000000E+1 1.49088510E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.84095852E-1 4.06139229E-3 1.60071387E-1 2.61115276E-3 -2.21965918E-1 5.85081259E-3
07 18 2014 16 41 27 194 1.00000000E+2 0.00000000E+0 1.00000000E+2 1.49088860E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.75393574E-1 6.19651909E-3 1.60352508E-1 2.39444961E-3 -2.26264569E-1 3.62955214E-3
07 18 2014 16 41 31 197 1.00000000E+2 0.00000000E+0 1.50000000E+2 1.49089210E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.61748559E-1 4.22617674E-3 1.55614383E-1 3.96150240E-3 -2.23127764E-1 4.26125309E-3
07 18 2014 16 41 34 201 1.00000000E+2 0.00000000E+0 2.00000000E+2 1.49089560E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.65614099E-1 5.30213119E-3 1.48908658E-1 2.86544299E-3 -2.18998302E-1 3.45208414E-3
07 18 2014 16 41 38 204 1.00000000E+2 0.00000000E+0 2.50000000E+2 1.49089910E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.52880811E-1 1.29838678E-2 1.50796193E-1 3.17683455E-3 -2.16697579E-1 5.38515078E-3
07 18 2014 16 41 41 208 1.00000000E+2 0.00000000E+0 3.00000000E+2 1.49090260E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.28361061E-1 4.61291145E-3 1.38095955E-1 5.54093874E-3 -1.82347511E-1 1.84616633E-2
07 18 2014 16 41 45 211 1.00000000E+2 0.00000000E+0 3.50000000E+2 1.49090620E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.23336479E-1 4.21367900E-3 1.39421491E-1 3.01308897E-3 -1.43350060E-1 1.59391818E-2
07 18 2014 16 41 48 215 1.00000000E+2 0.00000000E+0 4.00000000E+2 1.49090970E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 6.11885027E-1 7.04634144E-3 1.44156543E-1 3.17791248E-3 -9.03642539E-2 2.34896334E-2
07 18 2014 16 41 52 218 1.00000000E+2 0.00000000E+0 4.50000000E+2 1.49091320E+6 0.00000000E+0 0.00000000E+0 -0.00000000E+0 5.89416988E-1 1.05116999E-2 1.43574245E-1 2.65807436E-3 -1.07092644E-2 3.93614101E-2
