Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
06 24 2015 21 29 56 16 -5.99393020E+1 -6.00605144E+1 -2.00000000E+2 2.18665000E+4 0.00000000E+0 1.61452293E+1 5.76338454E-2 3.23337317E-1 7.17363918E-2 8.48710537E-2 3.42705124E-2 1.02964640E+0 3.82659591E-2
06 24 2015 21 29 59 20 -5.99393020E+1 -6.00605144E+1 -1.80061350E+2 2.18701000E+4 0.00000000E+0 1.61398649E+1 4.82991618E-2 3.34727764E-1 7.53708702E-2 8.52346420E-2 3.30847519E-2 1.06255412E+0 3.97761767E-2
06 24 2015 21 30 03 23 -5.99393020E+1 -6.00605144E+1 -1.59969325E+2 2.18737000E+4 0.00000000E+0 1.61574781E+1 5.42245046E-2 3.20635736E-1 7.28154921E-2 6.50733709E-2 3.13502111E-2 1.08642131E+0 3.55820052E-2
06 24 2015 21 30 07 27 -5.99393020E+1 -6.00605144E+1 -1.40030675E+2 2.18773000E+4 0.00000000E+0 1.61944628E+1 6.41669168E-2 3.35627794E-1 7.27036818E-2 6.43968582E-2 3.14578599E-2 1.14321709E+0 3.62490341E-2
06 24 2015 21 30 10 31 -5.99393020E+1 -6.00605144E+1 -1.19938650E+2 2.18809000E+4 0.00000000E+0 1.61727667E+1 5.24550818E-2 3.68458033E-1 7.28902923E-2 5.04314899E-2 3.29080710E-2 1.20577216E+0 3.80071922E-2
06 24 2015 21 30 14 34 -5.99393020E+1 -6.00605144E+1 -1.00000000E+2 2.18845000E+4 0.00000000E+0 1.61715746E+1 6.52100564E-2 3.71533632E-1 7.26139173E-2 4.20272350E-2 3.40760053E-2 1.26125813E+0 3.86607323E-2
06 24 2015 21 30 18 38 -5.99393020E+1 -6.00605144E+1 -8.00613497E+1 2.18881000E+4 0.00000000E+0 1.61630511E+1 6.53685757E-2 3.98021936E-1 7.54067486E-2 2.62796879E-2 3.11270829E-2 1.32615566E+0 3.73011382E-2
06 24 2015 21 30 21 41 -5.99393020E+1 -6.00605144E+1 -5.99693252E+1 2.18918000E+4 0.00000000E+0 1.61702037E+1 5.67011036E-2 4.34756279E-1 7.40999259E-2 5.93066216E-3 3.14716060E-2 1.42466426E+0 3.56394220E-2
06 24 2015 21 30 25 45 -5.99393020E+1 -6.00605144E+1 -4.00306748E+1 2.18954000E+4 0.00000000E+0 1.61499530E+1 5.36238115E-2 4.94882464E-1 7.51161294E-2 -1.49533153E-2 3.13041557E-2 1.52728707E+0 3.50665351E-2
06 24 2015 21 30 28 49 -5.99393020E+1 -6.00605144E+1 -1.99386503E+1 2.18990000E+4 0.00000000E+0 1.61514878E+1 4.72334176E-2 5.54060936E-1 7.09085516E-2 -2.55048275E-2 3.20812431E-2 1.64784193E+0 3.58245112E-2
06 24 2015 21 30 32 52 -5.99393020E+1 -6.00605144E+1 0.00000000E+0 2.19026000E+4 0.00000000E+0 1.61512494E+1 5.59706340E-2 6.06137514E-1 7.25442853E-2 -4.62591648E-2 3.36017641E-2 1.77689791E+0 3.70684520E-2
06 24 2015 21 30 36 56 -5.99393020E+1 -6.00605144E+1 1.99386503E+1 2.19062000E+4 0.00000000E+0 1.61406994E+1 7.40418040E-2 6.53332472E-1 7.56896578E-2 -7.08580017E-2 2.93254954E-2 1.91232562E+0 3.36266492E-2
06 24 2015 21 30 39 59 -5.99393020E+1 -6.00605144E+1 4.00306748E+1 2.19098000E+4 0.00000000E+0 1.61510706E+1 5.60270311E-2 7.20942020E-1 7.61346513E-2 -9.43839550E-2 2.76269229E-2 2.07372904E+0 3.22117600E-2
06 24 2015 21 30 43 63 -5.99393020E+1 -6.00605144E+1 5.99693252E+1 2.19134000E+4 0.00000000E+0 1.61793232E+1 6.50061504E-2 8.02737474E-1 7.34882210E-2 -1.31839514E-1 2.88364724E-2 2.24125385E+0 3.18482257E-2
06 24 2015 21 30 46 67 -5.99393020E+1 -6.00605144E+1 8.00613497E+1 2.19171000E+4 0.00000000E+0 1.61516666E+1 7.94199927E-2 9.48578119E-1 7.48154373E-2 -1.67712569E-1 2.87466926E-2 2.44648755E+0 3.14105017E-2
06 24 2015 21 30 50 70 -5.99393020E+1 -6.00605144E+1 1.00000000E+2 2.19207000E+4 0.00000000E+0 1.61518455E+1 4.53709250E-2 1.05350614E+0 7.64840363E-2 -1.99663639E-1 2.81315286E-2 2.68861055E+0 3.26069000E-2
06 24 2015 21 30 54 74 -5.99393020E+1 -6.00605144E+1 1.19938650E+2 2.19243000E+4 0.00000000E+0 1.61614418E+1 5.27401933E-2 1.19572878E+0 7.38677967E-2 -2.41768360E-1 2.97629925E-2 2.95227170E+0 3.09230120E-2
06 24 2015 21 30 57 78 -5.99393020E+1 -6.00605144E+1 1.40030675E+2 2.19279000E+4 0.00000000E+0 1.61982179E+1 4.37395848E-2 1.35464668E+0 7.58546098E-2 -2.79301405E-1 2.91277554E-2 3.23975682E+0 3.07987062E-2
06 24 2015 21 31 01 81 -5.99393020E+1 -6.00605144E+1 1.59969325E+2 2.19315000E+4 0.00000000E+0 1.61854029E+1 4.79653786E-2 1.55002475E+0 7.64072715E-2 -3.30197811E-1 2.85401055E-2 3.56106758E+0 2.88449767E-2
06 24 2015 21 31 05 85 -5.99393020E+1 -6.00605144E+1 1.80061350E+2 2.19351000E+4 0.00000000E+0 1.61751509E+1 5.50813730E-2 1.78999901E+0 7.39787978E-2 -3.80742550E-1 2.89856778E-2 3.92465591E+0 2.86445965E-2
06 24 2015 21 31 08 88 -5.99393020E+1 -4.99243570E+1 1.80061350E+2 2.19383000E+4 0.00000000E+0 1.61438584E+1 7.19389712E-2 1.80803537E+0 7.87699552E-2 -2.63935328E-1 2.65070888E-2 3.96138430E+0 3.00135530E-2
06 24 2015 21 31 11 92 -5.99393020E+1 -4.99243570E+1 1.59969325E+2 2.19420000E+4 0.00000000E+0 1.61644816E+1 5.82476220E-2 1.57253742E+0 7.47988799E-2 -2.29018927E-1 2.88948708E-2 3.59885097E+0 2.88960873E-2
06 24 2015 21 31 15 95 -5.99393020E+1 -4.99243570E+1 1.40030675E+2 2.19456000E+4 0.00000000E+0 1.61646008E+1 5.11530396E-2 1.37019753E+0 7.53946290E-2 -1.97136402E-1 2.80367236E-2 3.25341821E+0 3.09186773E-2
06 24 2015 21 31 19 99 -5.99393020E+1 -4.99243570E+1 1.19938650E+2 2.19492000E+4 0.00000000E+0 1.61374211E+1 6.20364417E-2 1.21628642E+0 7.19830194E-2 -1.58673525E-1 2.99055789E-2 2.97539234E+0 3.05775503E-2
06 24 2015 21 31 22 102 -5.99393020E+1 -4.99243570E+1 1.00000000E+2 2.19528000E+4 0.00000000E+0 1.61373019E+1 6.70059969E-2 1.08283162E+0 7.46439604E-2 -1.29854679E-1 2.84449005E-2 2.71679163E+0 3.15113175E-2
06 24 2015 21 31 26 106 -5.99393020E+1 -4.99243570E+1 8.00613497E+1 2.19564000E+4 0.00000000E+0 1.61650032E+1 6.83215451E-2 9.45918262E-1 7.86195820E-2 -9.91895795E-2 2.89726636E-2 2.46408582E+0 3.26061996E-2
06 24 2015 21 31 29 110 -5.99393020E+1 -4.99243570E+1 5.99693252E+1 2.19600000E+4 0.00000000E+0 1.61840320E+1 6.19565765E-2 8.13823938E-1 7.64829977E-2 -7.19428062E-2 2.92036637E-2 2.26300955E+0 3.19366512E-2
06 24 2015 21 31 33 113 -5.99393020E+1 -4.99243570E+1 4.00306748E+1 2.19636000E+4 0.00000000E+0 1.61638856E+1 4.41910841E-2 7.13318586E-1 7.33608142E-2 -4.97579575E-2 2.77409762E-2 2.07616091E+0 3.26903978E-2
06 24 2015 21 31 37 117 -5.99393020E+1 -4.99243570E+1 1.99386503E+1 2.19673000E+4 0.00000000E+0 1.61350965E+1 5.68307870E-2 6.61671162E-1 7.18589228E-2 -2.47061253E-2 2.86638463E-2 1.91241503E+0 3.20239568E-2
06 24 2015 21 31 40 120 -5.99393020E+1 -4.99243570E+1 0.00000000E+0 2.19709000E+4 0.00000000E+0 1.61353350E+1 1.60044550E-1 6.11597300E-1 7.03721731E-2 -1.05440617E-2 2.98169119E-2 1.77227855E+0 3.42229673E-2
06 24 2015 21 31 44 124 -5.99393020E+1 -4.99243570E+1 -1.99386503E+1 2.19745000E+4 0.00000000E+0 1.61777139E+1 1.40730367E-1 5.30749559E-1 7.20023577E-2 1.21593475E-3 2.97305749E-2 1.62649751E+0 3.35993823E-2
06 24 2015 21 31 48 128 -5.99393020E+1 -4.99243570E+1 -4.00306748E+1 2.19781000E+4 0.00000000E+0 1.61626190E+1 1.21586633E-1 4.68522310E-1 7.41910389E-2 1.23232603E-2 3.25977252E-2 1.51512027E+0 3.48159025E-2
06 24 2015 21 31 51 131 -5.99393020E+1 -4.99243570E+1 -5.99693252E+1 2.19817000E+4 0.00000000E+0 1.61547661E+1 9.68502550E-2 4.42564487E-1 7.34057479E-2 4.02271748E-2 3.04123404E-2 1.43015385E+0 3.45211574E-2
06 24 2015 21 31 55 135 -5.99393020E+1 -4.99243570E+1 -8.00613497E+1 2.19853000E+4 0.00000000E+0 1.61517859E+1 1.17530992E-1 4.17977571E-1 7.56167197E-2 5.09917736E-2 2.95975546E-2 1.34260058E+0 3.35882502E-2
06 24 2015 21 31 58 139 -5.99393020E+1 -4.99243570E+1 -1.00000000E+2 2.19889000E+4 0.00000000E+0 1.61250830E+1 8.98172768E-2 4.08262014E-1 7.14405173E-2 6.62922859E-2 2.97879862E-2 1.27418637E+0 3.43189026E-2
06 24 2015 21 32 02 142 -5.99393020E+1 -4.99243570E+1 -1.19938650E+2 2.19926000E+4 0.00000000E+0 1.61131620E+1 8.83877533E-2 3.92872095E-1 7.23988287E-2 7.48515129E-2 3.16044370E-2 1.21361613E+0 3.49577312E-2
06 24 2015 21 32 06 146 -5.99393020E+1 -4.99243570E+1 -1.40030675E+2 2.19962000E+4 0.00000000E+0 1.61712170E+1 1.04056158E-1 3.45188379E-1 7.24662576E-2 8.82029533E-2 3.08363835E-2 1.14299655E+0 3.53949704E-2
06 24 2015 21 32 09 149 -5.99393020E+1 -4.99243570E+1 -1.59969325E+2 2.19998000E+4 0.00000000E+0 1.61552429E+1 9.85681346E-2 3.16180289E-1 7.74423980E-2 9.69693065E-2 3.14107760E-2 1.09661371E+0 3.47848940E-2
06 24 2015 21 32 13 153 -5.99393020E+1 -4.99243570E+1 -1.80061350E+2 2.20034000E+4 0.00000000E+0 1.61684155E+1 1.39930464E-1 3.27569246E-1 7.59359114E-2 9.61422920E-2 2.95130975E-2 1.04044080E+0 3.46447856E-2
06 24 2015 21 32 16 157 -5.99393020E+1 -4.99243570E+1 -2.00000000E+2 2.20070000E+4 0.00000000E+0 1.61656737E+1 1.53882756E-1 3.07208300E-1 7.18539888E-2 9.97841358E-2 3.13508974E-2 1.00008249E+0 3.60786166E-2
