Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
07 31 2014 13 39 26 10 1.00000000E+2 0.00000000E+0 0.00000000E+0 5.12855300E+5 0.00000000E+0 3.80635262E-1 3.62923795E-2 6.41822815E-1 2.00783343E-3 -5.27501106E-3 1.78033187E-3 -4.23789024E-3 2.77650451E-3
07 31 2014 13 39 30 15 1.00000000E+2 0.00000000E+0 5.00000000E+1 5.12859800E+5 0.00000000E+0 4.30703163E-1 1.75802063E-2 6.23798370E-1 2.49744248E-3 -2.42412090E-2 1.83918319E-3 -3.10361385E-2 3.27891704E-3
07 31 2014 13 39 35 19 1.00000000E+2 0.00000000E+0 1.00000000E+2 5.12864300E+5 0.00000000E+0 4.81486320E-1 3.47269787E-2 6.14732504E-1 2.39541365E-3 -3.29017639E-2 2.26844116E-3 -1.77085400E-2 3.16592843E-3
07 31 2014 13 39 39 24 1.00000000E+2 0.00000000E+0 1.50000000E+2 5.12868800E+5 0.00000000E+0 4.97043133E-1 2.94157734E-2 6.57439232E-1 2.11239399E-3 -1.88112259E-2 1.47914613E-3 1.84178352E-2 3.43863041E-3
07 31 2014 13 39 44 28 1.00000000E+2 0.00000000E+0 2.00000000E+2 5.12873400E+5 0.00000000E+0 4.85599041E-1 2.85114368E-2 6.92987442E-1 3.08822424E-3 -1.10030174E-2 1.78839029E-3 6.01410866E-3 3.06314649E-3
07 31 2014 13 39 48 33 1.00000000E+2 0.00000000E+0 2.50000000E+2 5.12877900E+5 0.00000000E+0 4.66048717E-1 1.96394698E-2 6.73252344E-1 2.94660748E-3 -2.83539295E-2 2.66820195E-3 -2.28226185E-2 2.17535680E-3
07 31 2014 13 39 53 37 1.00000000E+2 0.00000000E+0 3.00000000E+2 5.12882400E+5 0.00000000E+0 4.41372395E-1 2.88295946E-2 6.71207905E-1 3.42416450E-3 -2.92211771E-2 2.54891466E-3 1.01253390E-2 4.12045175E-3
07 31 2014 13 39 57 42 1.00000000E+2 0.00000000E+0 3.50000000E+2 5.12886900E+5 0.00000000E+0 4.51862812E-1 3.10124483E-2 7.26252794E-1 2.01448106E-3 -1.80006027E-3 2.27565047E-3 6.69836998E-2 4.43077558E-3
07 31 2014 13 40 02 46 1.00000000E+2 0.00000000E+0 4.00000000E+2 5.12891400E+5 0.00000000E+0 4.48375940E-1 2.10874685E-2 7.96779990E-1 2.35011674E-3 1.85966492E-2 2.28185389E-3 8.90344381E-2 3.28864273E-3
07 31 2014 13 40 06 51 1.00000000E+2 0.00000000E+0 4.50000000E+2 5.12896000E+5 0.00000000E+0 4.47094440E-1 2.33808769E-2 8.46207142E-1 2.28535841E-3 1.28686428E-2 2.25702903E-3 1.17671490E-1 3.02516790E-3
07 31 2014 13 40 11 56 1.00000000E+2 0.00000000E+0 5.00000000E+2 5.12900500E+5 0.00000000E+0 4.36380506E-1 3.43589457E-2 9.52720642E-1 2.63701439E-3 1.64955854E-2 2.70752090E-3 2.21334398E-1 3.04570403E-3
07 31 2014 13 40 15 60 1.00000000E+2 0.00000000E+0 5.50000000E+2 5.12905000E+5 0.00000000E+0 4.41789627E-1 2.24570879E-2 1.16879344E+0 2.52036003E-3 2.78770924E-2 2.28528478E-3 4.03988361E-1 2.99909545E-3
07 31 2014 13 40 20 65 1.00000000E+2 0.00000000E+0 6.00000000E+2 5.12909500E+5 0.00000000E+0 4.41133976E-1 2.88457831E-2 1.49728060E+0 2.73098981E-3 4.10556793E-2 1.78055241E-3 6.39933348E-1 3.01138383E-3
07 31 2014 13 40 24 69 1.00000000E+2 0.00000000E+0 6.50000000E+2 5.12914000E+5 0.00000000E+0 4.45902348E-1 3.09085695E-2 1.98331475E+0 2.03222444E-3 3.97384167E-2 1.59714928E-3 1.04618073E+0 3.41012709E-3
07 31 2014 13 40 29 74 1.00000000E+2 0.00000000E+0 7.00000000E+2 5.12918500E+5 0.00000000E+0 4.25815582E-1 3.04603707E-2 2.81574726E+0 2.24344288E-3 6.36816025E-2 2.44722352E-3 1.77652240E+0 2.99049793E-3
07 31 2014 13 40 33 78 1.00000000E+2 0.00000000E+0 7.50000000E+2 5.12923100E+5 0.00000000E+0 4.44054604E-1 2.57153347E-2 4.28200513E+0 2.72516669E-3 1.25110149E-1 2.73783713E-3 2.95989215E+0 3.16024554E-3
