Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
07 31 2014 13 52 13 11 1.00000000E+2 0.00000000E+0 0.00000000E+0 5.13622900E+5 0.00000000E+0 6.04335487E+2 2.87101151E-2 -6.20956516E+2 4.45463111E-3 1.99068785E+0 5.16472387E-3 4.47709560E+0 8.95743009E-2
07 31 2014 13 52 18 15 1.00000000E+2 0.00000000E+0 5.00000000E+1 5.13627400E+5 0.00000000E+0 6.04372680E+2 2.96689487E-2 -6.20960157E+2 4.81587577E-3 1.99760795E+0 3.16044276E-3 4.55324650E+0 6.10657768E-2
07 31 2014 13 52 22 20 1.00000000E+2 0.00000000E+0 1.00000000E+2 5.13631900E+5 0.00000000E+0 6.04421556E+2 3.59681470E-2 -6.20919356E+2 4.80853533E-3 2.19269991E+0 3.12494009E-3 4.78668809E+0 1.86240293E-2
07 31 2014 13 52 27 24 1.00000000E+2 0.00000000E+0 1.50000000E+2 5.13636400E+5 0.00000000E+0 6.04449213E+2 3.92160038E-2 -6.20827966E+2 3.86610960E-3 2.35204697E+0 5.54485424E-3 4.85278368E+0 5.81282018E-2
07 31 2014 13 52 31 29 1.00000000E+2 0.00000000E+0 2.00000000E+2 5.13640900E+5 0.00000000E+0 6.04416966E+2 4.38072905E-2 -6.20809488E+2 3.48121721E-3 2.34745741E+0 3.97991430E-3 5.42355180E+0 6.05937612E-2
07 31 2014 13 52 36 33 1.00000000E+2 0.00000000E+0 2.50000000E+2 5.13645500E+5 0.00000000E+0 6.04407117E+2 3.33955380E-2 -6.20915622E+2 3.60819561E-3 2.39937007E+0 5.81775124E-3 5.57251275E+0 1.92910873E-2
07 31 2014 13 52 40 38 1.00000000E+2 0.00000000E+0 3.00000000E+2 5.13650000E+5 0.00000000E+0 6.04407370E+2 4.63026517E-2 -6.21072471E+2 2.94645137E-3 2.47119665E+0 3.29453360E-3 5.58617711E+0 2.58801339E-2
07 31 2014 13 52 45 42 1.00000000E+2 0.00000000E+0 3.50000000E+2 5.13654500E+5 0.00000000E+0 6.04387447E+2 3.35723746E-2 -6.21197444E+2 3.99823052E-3 2.56203115E+0 4.10834139E-3 5.37614524E+0 2.03145070E-2
07 31 2014 13 52 49 47 1.00000000E+2 0.00000000E+0 4.00000000E+2 5.13659000E+5 0.00000000E+0 6.04376733E+2 3.13458877E-2 -6.21231322E+2 5.31685867E-3 2.75079012E+0 2.22922881E-3 5.09326458E+0 1.13967021E-2
07 31 2014 13 52 54 51 1.00000000E+2 0.00000000E+0 4.50000000E+2 5.13663500E+5 0.00000000E+0 6.04365647E+2 3.96133648E-2 -6.21096418E+2 5.42994075E-3 2.99959183E+0 2.81846025E-3 5.43206930E+0 8.90095562E-3
