Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
09 16 2014 13 42 32 17 1.00000000E+2 0.00000000E+0 0.00000000E+0 9.47785300E+5 0.00000000E+0 6.56970739E+1 4.59237706E-1 3.28868628E-1 2.35986698E-3 3.13442945E-1 2.31034829E-3 5.75953722E-1 3.27165523E-3
09 16 2014 13 42 37 22 1.00000000E+2 0.00000000E+0 5.00000000E+1 9.47789800E+5 0.00000000E+0 6.56438470E+1 4.31025767E-1 2.23380327E-1 2.46023161E-3 2.53123045E-1 2.89952649E-3 4.65154648E-1 3.29251246E-3
09 16 2014 13 42 41 26 1.00000000E+2 0.00000000E+0 1.00000000E+2 9.47794300E+5 0.00000000E+0 6.56501204E+1 4.32013483E-1 1.22100115E-1 2.20392154E-3 2.15269625E-1 2.61725934E-3 5.10349870E-1 2.69665185E-3
09 16 2014 13 42 46 31 1.00000000E+2 0.00000000E+0 1.50000000E+2 9.47798800E+5 0.00000000E+0 6.57333136E+1 4.42596184E-1 2.03180313E-1 1.90436607E-3 2.44837999E-1 1.81750191E-3 6.38240576E-1 2.99449694E-3
09 16 2014 13 42 50 35 1.00000000E+2 0.00000000E+0 2.00000000E+2 9.47803300E+5 0.00000000E+0 6.57168776E+1 4.17006686E-1 2.38656998E-1 2.45312521E-3 2.57804990E-1 1.80468586E-3 5.70319593E-1 4.91169639E-3
09 16 2014 13 42 55 40 1.00000000E+2 0.00000000E+0 2.50000000E+2 9.47807900E+5 0.00000000E+0 6.56539798E+1 4.39832452E-1 7.54714012E-2 2.08348088E-3 1.88326836E-1 2.19184088E-3 4.93478775E-1 3.76484476E-3
09 16 2014 13 42 59 44 1.00000000E+2 0.00000000E+0 3.00000000E+2 9.47812400E+5 0.00000000E+0 6.57128692E+1 4.19896355E-1 -6.01768494E-2 2.46033042E-3 1.47020817E-1 2.52884049E-3 6.28012419E-1 3.89238723E-3
09 16 2014 13 43 04 49 1.00000000E+2 0.00000000E+0 3.50000000E+2 9.47816900E+5 0.00000000E+0 6.56886697E+1 4.42598444E-1 4.07099724E-3 2.40768441E-3 1.78307295E-1 1.60070438E-3 9.04530287E-1 2.85156337E-3
09 16 2014 13 43 08 53 1.00000000E+2 0.00000000E+0 4.00000000E+2 9.47821400E+5 0.00000000E+0 6.56921864E+1 4.39684300E-1 5.13792038E-2 2.65857676E-3 1.92779303E-1 1.63829762E-3 1.02496147E+0 4.07666783E-3
09 16 2014 13 43 13 58 1.00000000E+2 0.00000000E+0 4.50000000E+2 9.47825900E+5 0.00000000E+0 6.56901002E+1 4.44182578E-1 -9.59038734E-2 3.20934229E-3 1.18660927E-1 1.81219583E-3 1.14197731E+0 3.43904365E-3
09 16 2014 13 43 17 62 1.00000000E+2 0.00000000E+0 5.00000000E+2 9.47830400E+5 0.00000000E+0 6.56536818E+1 4.38873275E-1 -2.10475922E-1 2.59894095E-3 8.27252865E-2 2.18359299E-3 1.49022341E+0 3.76494409E-3
09 16 2014 13 43 22 67 1.00000000E+2 0.00000000E+0 5.50000000E+2 9.47835000E+5 0.00000000E+0 6.56795502E+1 4.42320335E-1 -1.51589513E-1 3.13888872E-3 1.08227134E-1 2.34406207E-3 1.98613107E+0 2.82130051E-3
09 16 2014 13 43 26 71 1.00000000E+2 0.00000000E+0 6.00000000E+2 9.47839500E+5 0.00000000E+0 6.56901002E+1 4.34644169E-1 -1.74367428E-1 3.29956970E-3 9.36567783E-2 2.37987624E-3 2.40362883E+0 2.62200540E-3
09 16 2014 13 43 31 76 1.00000000E+2 0.00000000E+0 6.50000000E+2 9.47844000E+5 0.00000000E+0 6.57701492E+1 4.47342131E-1 -3.67671251E-1 1.86236300E-3 1.46031380E-2 2.44267562E-3 2.98846513E+0 4.00880564E-3
09 16 2014 13 43 35 80 1.00000000E+2 0.00000000E+0 7.00000000E+2 9.47848500E+5 0.00000000E+0 6.56669736E+1 4.29203019E-1 -5.86605072E-1 2.94897351E-3 -1.11281872E-2 2.39053777E-3 3.98452878E+0 3.12282716E-3
09 16 2014 13 43 40 85 1.00000000E+2 0.00000000E+0 7.50000000E+2 9.47853000E+5 0.00000000E+0 6.56341016E+1 4.42343226E-1 -6.13845885E-1 2.46419135E-3 4.11942601E-2 2.70054651E-3 5.45676798E+0 3.66128940E-3
09 16 2014 13 43 44 89 1.00000000E+2 0.00000000E+0 8.00000000E+2 9.47857500E+5 0.00000000E+0 6.56548738E+1 4.42392031E-1 -5.74183464E-1 2.52508149E-3 1.35499239E-1 1.65600676E-3 7.27895498E+0 3.00661755E-3
09 16 2014 13 43 49 94 1.00000000E+2 0.00000000E+0 8.50000000E+2 9.47862100E+5 0.00000000E+0 6.57028556E+1 4.56811339E-1 -5.47105074E-1 1.96775165E-3 2.24393606E-1 1.59948905E-3 9.74746943E+0 3.38946953E-3
09 16 2014 13 43 53 98 1.00000000E+2 0.00000000E+0 9.00000000E+2 9.47866600E+5 0.00000000E+0 6.57102466E+1 4.42238961E-1 -1.13850832E-1 2.83541296E-3 4.40400839E-1 1.96348993E-3 1.33092880E+1 2.90471314E-3
