    0.0125     -0.025       -0.1 	       6.7471271     -0.013244196       0.05493108 
    0.0125     -0.025 -0.0979798 	       6.7379591     -0.013153616      0.053511294 
    0.0125     -0.025 -0.0959596 	       6.7290197     -0.013064636      0.052112484 
    0.0125     -0.025 -0.0939394 	       6.7203099     -0.012978349      0.050733732 
    0.0125     -0.025 -0.0919192 	       6.7118328      -0.01289549      0.049371282 
    0.0125     -0.025  -0.089899 	         6.70359     -0.012812779      0.048030245 
    0.0125     -0.025 -0.0878788 	       6.6955824     -0.012732563      0.046708026 
    0.0125     -0.025 -0.0858586 	       6.6878131     -0.012654563      0.045403893 
    0.0125     -0.025 -0.0838384 	        6.680283     -0.012577004      0.044119283 
    0.0125     -0.025 -0.0818182 	       6.6729937     -0.012503321      0.042850665 
    0.0125     -0.025  -0.079798 	       6.6659462     -0.012431775      0.041597712 
    0.0125     -0.025 -0.0777778 	       6.6591425     -0.012361971      0.040361066 
    0.0125     -0.025 -0.0757576 	       6.6525842     -0.012294401      0.039140167 
    0.0125     -0.025 -0.0737374 	       6.6462727     -0.012229268      0.037934873 
    0.0125     -0.025 -0.0717172 	         6.64021     -0.012166237      0.036744179 
    0.0125     -0.025  -0.069697 	       6.6343969     -0.012104893      0.035567779 
    0.0125     -0.025 -0.0676768 	       6.6288343      -0.01204598      0.034405019 
    0.0125     -0.025 -0.0656566 	       6.6235244     -0.011988956       0.03325609 
    0.0125     -0.025 -0.0636364 	       6.6184677     -0.011935039      0.032118059 
    0.0125     -0.025 -0.0616162 	       6.6136681     -0.011882186      0.030994883 
    0.0125     -0.025  -0.059596 	       6.6091237      -0.01183121      0.029883776 
    0.0125     -0.025 -0.0575758 	       6.6048367     -0.011782382      0.028784453 
    0.0125     -0.025 -0.0555556 	       6.6008089     -0.011734902      0.027697346 
    0.0125     -0.025 -0.0535354 	       6.5970414     -0.011687698      0.026619045 
    0.0125     -0.025 -0.0515152 	       6.5935341     -0.011644867      0.025552646 
    0.0125     -0.025  -0.049495 	       6.5902882     -0.011602944      0.024497588 
    0.0125     -0.025 -0.0474747 	       6.5873058      -0.01156427       0.02345116 
    0.0125     -0.025 -0.0454545 	       6.5845872     -0.011527974      0.022414216 
    0.0125     -0.025 -0.0434343 	       6.5821346     -0.011493407      0.021385563 
    0.0125     -0.025 -0.0414141 	        6.579948     -0.011462405      0.020367185 
    0.0125     -0.025 -0.0393939 	       6.5780267      -0.01143218      0.019354577 
    0.0125     -0.025 -0.0373737 	       6.5763743      -0.01140358      0.018350307 
    0.0125     -0.025 -0.0353535 	       6.5749912     -0.011376962      0.017353197 
    0.0125     -0.025 -0.0333333 	       6.5738778     -0.011352226      0.016363004 
    0.0125     -0.025 -0.0313131 	       6.5730346     -0.011329146      0.015379297 
    0.0125     -0.025 -0.0292929 	       6.5724627     -0.011308556      0.014401695 
    0.0125     -0.025 -0.0272727 	       6.5721636     -0.011289146      0.013429711 
    0.0125     -0.025 -0.0252525 	       6.5721372     -0.011272336      0.012462892 
    0.0125     -0.025 -0.0232323 	       6.5723846     -0.011257826       0.01150099 
    0.0125     -0.025 -0.0212121 	       6.5729064      -0.01124522      0.010543671 
    0.0125     -0.025 -0.0191919 	       6.5737034     -0.011234499      0.009590241 
    0.0125     -0.025 -0.0171717 	       6.5747764     -0.011225894     0.0086404804 
    0.0125     -0.025 -0.0151515 	       6.5761268     -0.011218618     0.0076936332 
    0.0125     -0.025 -0.0131313 	       6.5777538     -0.011214022       0.00675009 
    0.0125     -0.025 -0.0111111 	       6.5796588     -0.011211429     0.0058090369 
    0.0125     -0.025 -0.00909091 	       6.5818421      -0.01121084     0.0048701078 
    0.0125     -0.025 -0.00707071 	        6.584305     -0.011213267     0.0039329206 
    0.0125     -0.025 -0.00505051 	       6.5870463     -0.011217097     0.0029976928 
    0.0125     -0.025 -0.0030303 	       6.5900685     -0.011222272     0.0020628065 
    0.0125     -0.025 -0.0010101 	       6.5933709      -0.01122961      0.001127306 
    0.0125     -0.025  0.0010101 	       6.5969547     -0.011238669    0.00019296902 
    0.0125     -0.025  0.0030303 	       6.6008208     -0.011249842   -0.00074091436 
    0.0125     -0.025 0.00505051 	       6.6049682     -0.011263097    -0.0016756793 
    0.0125     -0.025 0.00707071 	       6.6093986     -0.011278745    -0.0026119629 
    0.0125     -0.025 0.00909091 	       6.6141124     -0.011296558    -0.0035495893 
    0.0125     -0.025  0.0111111 	       6.6191082     -0.011317241    -0.0044898369 
    0.0125     -0.025  0.0131313 	       6.6243882     -0.011339228    -0.0054316721 
    0.0125     -0.025  0.0151515 	       6.6299523     -0.011363238    -0.0063760879 
    0.0125     -0.025  0.0171717 	       6.6358007     -0.011389255    -0.0073235056 
    0.0125     -0.025  0.0191919 	       6.6419347     -0.011417352    -0.0082743063 
    0.0125     -0.025  0.0212121 	        6.648353      -0.01144751    -0.0092290015 
    0.0125     -0.025  0.0232323 	       6.6550566     -0.011479707     -0.010188042 
    0.0125     -0.025  0.0252525 	        6.662045      -0.01151427     -0.011151755 
