    0.0125     -0.025       -0.1 	       5.3616837    -0.0099713245      0.060888308 
    0.0125     -0.025 -0.0979798 	        5.340402    -0.0098449809      0.059595459 
    0.0125     -0.025 -0.0959596 	       5.3192174    -0.0097209963      0.058327572 
    0.0125     -0.025 -0.0939394 	       5.2981324    -0.0095983896      0.057080616 
    0.0125     -0.025 -0.0919192 	       5.2771477    -0.0094767916       0.05585668 
    0.0125     -0.025  -0.089899 	       5.2562635    -0.0093577763      0.054652282 
    0.0125     -0.025 -0.0878788 	       5.2354799    -0.0092397663      0.053471321 
    0.0125     -0.025 -0.0858586 	       5.2147969     -0.009123843      0.052309568 
    0.0125     -0.025 -0.0838384 	       5.1942179    -0.0090089701      0.051170554 
    0.0125     -0.025 -0.0818182 	       5.1737428    -0.0088958722      0.050051785 
    0.0125     -0.025  -0.079798 	       5.1533716    -0.0087844221      0.048951804 
    0.0125     -0.025 -0.0777778 	       5.1331045    -0.0086743976      0.047872543 
    0.0125     -0.025 -0.0757576 	       5.1129403    -0.0085644825      0.046811786 
    0.0125     -0.025 -0.0737374 	       5.0928867    -0.0084575733      0.045769661 
    0.0125     -0.025 -0.0717172 	       5.0729359    -0.0083520532      0.044747049 
    0.0125     -0.025  -0.069697 	       5.0530916    -0.0082482905      0.043742553 
    0.0125     -0.025 -0.0676768 	       5.0333543     -0.008145156      0.042756287 
    0.0125     -0.025 -0.0656566 	       5.0137237    -0.0080440645      0.041786823 
    0.0125     -0.025 -0.0636364 	       4.9942011    -0.0079448397      0.040836049 
    0.0125     -0.025 -0.0616162 	       4.9747856    -0.0078469774      0.039900903 
    0.0125     -0.025  -0.059596 	       4.9554773    -0.0077509467      0.038981016 
    0.0125     -0.025 -0.0575758 	        4.936278    -0.0076554279       0.03807762 
    0.0125     -0.025 -0.0555556 	       4.9171864     -0.007561356      0.037189976 
    0.0125     -0.025 -0.0535354 	       4.8982028    -0.0074687046      0.036317705 
    0.0125     -0.025 -0.0515152 	       4.8793276    -0.0073774204      0.035460441 
    0.0125     -0.025  -0.049495 	       4.8605603    -0.0072866571       0.03461836 
    0.0125     -0.025 -0.0474747 	       4.8419019     -0.007197897      0.033790246 
    0.0125     -0.025 -0.0454545 	       4.8233513    -0.0071106002      0.032976144 
    0.0125     -0.025 -0.0434343 	        4.804909    -0.0070250243      0.032175126 
    0.0125     -0.025 -0.0414141 	       4.7865751     -0.006940298      0.031388098 
    0.0125     -0.025 -0.0393939 	        4.768349    -0.0068567687      0.030614382 
    0.0125     -0.025 -0.0373737 	       4.7502307    -0.0067746337      0.029853506 
    0.0125     -0.025 -0.0353535 	         4.73222    -0.0066937169      0.029105127 
    0.0125     -0.025 -0.0333333 	       4.7143168    -0.0066140758      0.028369172 
    0.0125     -0.025 -0.0313131 	       4.6965208    -0.0065357056      0.027645119 
    0.0125     -0.025 -0.0292929 	       4.6788322     -0.006458563      0.026932869 
    0.0125     -0.025 -0.0272727 	       4.6612499    -0.0063823617      0.026232012 
    0.0125     -0.025 -0.0252525 	       4.6437737    -0.0063073547      0.025542165 
    0.0125     -0.025 -0.0232323 	       4.6264037    -0.0062336888      0.024863399 
    0.0125     -0.025 -0.0212121 	       4.6091392    -0.0061615326      0.024195515 
    0.0125     -0.025 -0.0191919 	       4.5919801    -0.0060895226      0.023538421 
    0.0125     -0.025 -0.0171717 	       4.5749261    -0.0060192904      0.022890885 
    0.0125     -0.025 -0.0151515 	       4.5579768    -0.0059501613      0.022253432 
    0.0125     -0.025 -0.0131313 	       4.5411313    -0.0058820468      0.021625442 
    0.0125     -0.025 -0.0111111 	       4.5243892     -0.005815212      0.021006949 
    0.0125     -0.025 -0.00909091 	       4.5077502    -0.0057491102      0.020397527 
    0.0125     -0.025 -0.00707071 	       4.4912138    -0.0056843024      0.019796863 
    0.0125     -0.025 -0.00505051 	       4.4747799    -0.0056199647      0.019205369 
    0.0125     -0.025 -0.0030303 	       4.4584468    -0.0055572401       0.01862186 
    0.0125     -0.025 -0.0010101 	       4.4422145    -0.0054955009       0.01804649 
    0.0125     -0.025  0.0010101 	       4.4260824    -0.0054343826      0.017479924 
    0.0125     -0.025  0.0030303 	       4.4100502    -0.0053753502      0.016919725 
    0.0125     -0.025 0.00505051 	       4.3941165    -0.0053167981      0.016367445 
    0.0125     -0.025 0.00707071 	       4.3782808    -0.0052597071      0.015821938 
    0.0125     -0.025 0.00909091 	        4.362543    -0.0052034669      0.015283359 
    0.0125     -0.025  0.0111111 	       4.3469022    -0.0051476236      0.014752589 
    0.0125     -0.025  0.0131313 	       4.3313572    -0.0050928896      0.014228274 
    0.0125     -0.025  0.0151515 	       4.3159078    -0.0050389615      0.013710581 
    0.0125     -0.025  0.0171717 	        4.300553    -0.0049859777       0.01319908 
    0.0125     -0.025  0.0191919 	       4.2852922    -0.0049340244      0.012693534 
    0.0125     -0.025  0.0212121 	       4.2701244    -0.0048830335      0.012193828 
    0.0125     -0.025  0.0232323 	        4.255049    -0.0048329704      0.011699868 
    0.0125     -0.025  0.0252525 	       4.2400652    -0.0047833109      0.011211378 
    0.0125     -0.025  0.0272727 	       4.2251718    -0.0047349994      0.010728065 
    0.0125     -0.025  0.0292929 	       4.2103681    -0.0046876706      0.010249737 
    0.0125     -0.025  0.0313131 	       4.1956535    -0.0046411078     0.0097764131 
    0.0125     -0.025  0.0333333 	       4.1810273    -0.0045949136     0.0093084084 
    0.0125     -0.025  0.0353535 	        4.166488    -0.0045499569     0.0088443177 
    0.0125     -0.025  0.0373737 	       4.1520348    -0.0045060161     0.0083844683 
    0.0125     -0.025  0.0393939 	       4.1376671    -0.0044637838     0.0079288556 
    0.0125     -0.025  0.0414141 	       4.1233836     -0.004421465     0.0074771417 
    0.0125     -0.025  0.0434343 	       4.1091839    -0.0043800785     0.0070294145 
    0.0125     -0.025  0.0454545 	       4.0950663     -0.004339456     0.0065852572 
    0.0125     -0.025  0.0474747 	       4.0810302    -0.0042995852     0.0061445473 
    0.0125     -0.025   0.049495 	       4.0670747    -0.0042604161     0.0057070826 
    0.0125     -0.025  0.0515152 	       4.0531987    -0.0042221855     0.0052728997 
    0.0125     -0.025  0.0535354 	       4.0394014    -0.0041841337     0.0048413672 
    0.0125     -0.025  0.0555556 	       4.0256813    -0.0041474408     0.0044127959 
    0.0125     -0.025  0.0575758 	       4.0120377    -0.0041110389     0.0039868535 
    0.0125     -0.025   0.059596 	       3.9984695    -0.0040758467     0.0035634429 
    0.0125     -0.025  0.0616162 	       3.9849757    -0.0040413455     0.0031422232 
    0.0125     -0.025  0.0636364 	        3.971555    -0.0040072452     0.0027232046 
    0.0125     -0.025  0.0656566 	       3.9582065    -0.0039742932     0.0023062764 
    0.0125     -0.025  0.0676768 	       3.9449289    -0.0039419848     0.0018910215 
    0.0125     -0.025   0.069697 	       3.9317214     -0.003910367     0.0014775283 
    0.0125     -0.025  0.0717172 	       3.9185827    -0.0038797706     0.0010656777 
    0.0125     -0.025  0.0737374 	       3.9055118    -0.0038495773    0.00065527785 
    0.0125     -0.025  0.0757576 	       3.8925075    -0.0038197688    0.00024597044 
    0.0125     -0.025  0.0777778 	       3.8795683    -0.0037909076   -0.00016229533 
    0.0125     -0.025   0.079798 	       3.8666936    -0.0037627376   -0.00056933721 
    0.0125     -0.025  0.0818182 	       3.8538818    -0.0037352745   -0.00097549136 
    0.0125     -0.025  0.0838384 	        3.841132    -0.0037085171     -0.001381201 
    0.0125     -0.025  0.0858586 	        3.828441    -0.0036825941    -0.0017866892 
    0.0125     -0.025  0.0878788 	       3.8158115    -0.0036571693    -0.0021914011 
    0.0125     -0.025   0.089899 	       3.8032402    -0.0036322913    -0.0025954617 
    0.0125     -0.025  0.0919192 	       3.7907249    -0.0036084211    -0.0029994169 
    0.0125     -0.025  0.0939394 	       3.7782657     -0.003585294    -0.0034038286 
    0.0125     -0.025  0.0959596 	       3.7658619    -0.0035617517    -0.0038079305 
    0.0125     -0.025  0.0979798 	       3.7535114    -0.0035392969    -0.0042121662 
    0.0125     -0.025        0.1 	       3.7412149    -0.0035171745    -0.0046165038 
    0.0125 -0.0229167       -0.1 	       5.3638556    -0.0091430797      0.060960678 
    0.0125 -0.0229167 -0.0979798 	       5.3425605    -0.0090273495      0.059666508 
    0.0125 -0.0229167 -0.0959596 	       5.3213611     -0.008913621      0.058397356 
    0.0125 -0.0229167 -0.0939394 	       5.3002623     -0.008801164      0.057149112 
    0.0125 -0.0229167 -0.0919192 	       5.2792635    -0.0086901015      0.055923374 
    0.0125 -0.0229167  -0.089899 	       5.2583639    -0.0085806829      0.054719486 
    0.0125 -0.0229167 -0.0878788 	       5.2375672    -0.0084720406      0.053535514 
    0.0125 -0.0229167 -0.0858586 	       5.2168714    -0.0083653237      0.052374484 
    0.0125 -0.0229167 -0.0838384 	       5.1962769    -0.0082604842      0.051232386 
    0.0125 -0.0229167 -0.0818182 	       5.1757875     -0.008156697      0.050112375 
