    0.0125     -0.025       -0.1 	       3.9458395    -0.0039124389     0.0047682017 
    0.0125     -0.025 -0.0979798 	       3.9602628    -0.0039391353     0.0043724691 
    0.0125     -0.025 -0.0959596 	        3.974761    -0.0039661917     0.0039773411 
    0.0125     -0.025 -0.0939394 	       3.9893364    -0.0039936555     0.0035826674 
    0.0125     -0.025 -0.0919192 	       4.0039906     -0.004022103     0.0031880012 
    0.0125     -0.025  -0.089899 	       4.0187252    -0.0040513786     0.0027934676 
    0.0125     -0.025 -0.0878788 	       4.0335418    -0.0040806546     0.0023988335 
    0.0125     -0.025 -0.0858586 	       4.0484413    -0.0041114739      0.002003922 
    0.0125     -0.025 -0.0838384 	       4.0634256     -0.004142687     0.0016085008 
    0.0125     -0.025 -0.0818182 	       4.0784961    -0.0041747852     0.0012125274 
    0.0125     -0.025  -0.079798 	       4.0936546    -0.0042077087    0.00081595528 
    0.0125     -0.025 -0.0777778 	        4.108902    -0.0042407802     0.0004186667 
    0.0125     -0.025 -0.0757576 	         4.12424    -0.0042750282    2.0200764e-05 
    0.0125     -0.025 -0.0737374 	       4.1396703     -0.004310615   -0.00037929261 
    0.0125     -0.025 -0.0717172 	       4.1551939     -0.004346184   -0.00077994068 
    0.0125     -0.025  -0.069697 	       4.1708125    -0.0043832187    -0.0011819467 
    0.0125     -0.025 -0.0676768 	       4.1865276     -0.004420463    -0.0015854058 
    0.0125     -0.025 -0.0656566 	       4.2023406    -0.0044583788    -0.0019905733 
    0.0125     -0.025 -0.0636364 	       4.2182527    -0.0044972361    -0.0023975231 
    0.0125     -0.025 -0.0616162 	       4.2342654    -0.0045369638      -0.00280642 
    0.0125     -0.025  -0.059596 	       4.2503803     -0.004577435    -0.0032174621 
    0.0125     -0.025 -0.0575758 	       4.2665986    -0.0046187447    -0.0036306512 
    0.0125     -0.025 -0.0555556 	        4.282922     -0.004660975    -0.0040462503 
    0.0125     -0.025 -0.0535354 	       4.2993517     -0.004703315    -0.0044645423 
    0.0125     -0.025 -0.0515152 	       4.3158888    -0.0047471413    -0.0048855887 
    0.0125     -0.025  -0.049495 	       4.3325349    -0.0047919438    -0.0053094498 
    0.0125     -0.025 -0.0474747 	       4.3492914    -0.0048376806      -0.00573622 
    0.0125     -0.025 -0.0454545 	       4.3661595    -0.0048844054    -0.0061662344 
    0.0125     -0.025 -0.0434343 	       4.3831408     -0.004931601    -0.0065997403 
    0.0125     -0.025 -0.0414141 	       4.4002366    -0.0049798771    -0.0070368196 
    0.0125     -0.025 -0.0393939 	        4.417448    -0.0050290912    -0.0074776932 
    0.0125     -0.025 -0.0373737 	       4.4347765     -0.005079223    -0.0079224739 
    0.0125     -0.025 -0.0353535 	       4.4522235    -0.0051303886    -0.0083713512 
    0.0125     -0.025 -0.0333333 	       4.4697901    -0.0051824382    -0.0088244805 
    0.0125     -0.025 -0.0313131 	       4.4874777     -0.005235358    -0.0092823426 
    0.0125     -0.025 -0.0292929 	       4.5052873    -0.0052892155    -0.0097446596 
    0.0125     -0.025 -0.0272727 	       4.5232207    -0.0053444604     -0.010211629 
    0.0125     -0.025 -0.0252525 	       4.5412786    -0.0054004798     -0.010683828 
    0.0125     -0.025 -0.0232323 	       4.5594625    -0.0054575555     -0.011161171 
    0.0125     -0.025 -0.0212121 	       4.5777735    -0.0055154988     -0.011644008 
    0.0125     -0.025 -0.0191919 	       4.5962132    -0.0055745603     -0.012132474 
    0.0125     -0.025 -0.0171717 	       4.6147831    -0.0056346647     -0.012626712 
    0.0125     -0.025 -0.0151515 	       4.6334838    -0.0056960975     -0.013127083 
    0.0125     -0.025 -0.0131313 	       4.6523168    -0.0057582188     -0.013633355 
    0.0125     -0.025 -0.0111111 	       4.6712829     -0.005821596     -0.014146251 
    0.0125     -0.025 -0.00909091 	       4.6903837     -0.005886136     -0.014665852 
    0.0125     -0.025 -0.00707071 	       4.7096203    -0.0059515076     -0.015192483 
    0.0125     -0.025 -0.00505051 	       4.7289938     -0.006018226     -0.015725994 
    0.0125     -0.025 -0.0030303 	       4.7485051    -0.0060868945     -0.016266104 
    0.0125     -0.025 -0.0010101 	       4.7681562    -0.0061560349      -0.01681464 
    0.0125     -0.025  0.0010101 	       4.7879472    -0.0062263021     -0.017370829 
    0.0125     -0.025  0.0030303 	       4.8078798    -0.0062976131     -0.017935071 
    0.0125     -0.025 0.00505051 	       4.8279549     -0.006370622     -0.018507801 
    0.0125     -0.025 0.00707071 	       4.8481736    -0.0064447588     -0.019088476 
    0.0125     -0.025 0.00909091 	       4.8685369    -0.0065199996     -0.019678053 
    0.0125     -0.025  0.0111111 	       4.8890456    -0.0065965604     -0.020276723 
    0.0125     -0.025  0.0131313 	       4.9097017    -0.0066743079     -0.020884598 
    0.0125     -0.025  0.0151515 	       4.9305054    -0.0067531804      -0.02150205 
    0.0125     -0.025  0.0171717 	       4.9514579     -0.006833679      -0.02212915 
    0.0125     -0.025  0.0191919 	       4.9725601    -0.0069156451     -0.022766316 
    0.0125     -0.025  0.0212121 	       4.9938132    -0.0069989048     -0.023413113 
    0.0125     -0.025  0.0232323 	       5.0152179    -0.0070836206     -0.024071313 
    0.0125     -0.025  0.0252525 	       5.0367753     -0.007169642     -0.024740147 
    0.0125     -0.025  0.0272727 	       5.0584864    -0.0072570132     -0.025420261 
    0.0125     -0.025  0.0292929 	       5.0803518    -0.0073460336     -0.026111727 
    0.0125     -0.025  0.0313131 	       5.1023728    -0.0074358288     -0.026815519 
    0.0125     -0.025  0.0333333 	       5.1245499    -0.0075277896     -0.027530736 
    0.0125     -0.025  0.0353535 	        5.146884     -0.007620842     -0.028258185 
    0.0125     -0.025  0.0373737 	       5.1693762    -0.0077157925     -0.028998264 
    0.0125     -0.025  0.0393939 	       5.1920269    -0.0078122416     -0.029751228 
    0.0125     -0.025  0.0414141 	       5.2148372    -0.0079103665     -0.030517283 
    0.0125     -0.025  0.0434343 	       5.2378083    -0.0080104891     -0.031297289 
    0.0125     -0.025  0.0454545 	       5.2609399    -0.0081118487     -0.032091176 
    0.0125     -0.025  0.0474747 	       5.2842332    -0.0082152712     -0.032899373 
    0.0125     -0.025   0.049495 	       5.3076889    -0.0083200199     -0.033722309 
    0.0125     -0.025  0.0515152 	       5.3313079    -0.0084262717     -0.034560206 
    0.0125     -0.025  0.0535354 	       5.3550904    -0.0085348955     -0.035413222 
    0.0125     -0.025  0.0555556 	       5.3790353    -0.0086442859     -0.036278956 
    0.0125     -0.025  0.0575758 	       5.4031472    -0.0087562399     -0.037163864 
    0.0125     -0.025   0.059596 	       5.4274245    -0.0088700355     -0.038065109 
    0.0125     -0.025  0.0616162 	        5.451868     -0.008984904     -0.038983872 
